,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5155626020243268,2980714025,2025-04-15 09:58:22,不止买房买车，朋友之间也不要轻易介绍对象，成了人家自己甜蜜幸福，不成怪介绍人不会筛选,来自上海,5155633609050479,1,0,不止买房买车，朋友之间也不要轻易介绍对象，成了人家自己甜蜜幸福，不成怪介绍人不会筛选,2528060163,下次一起看海丫,https://weibo.com/u/2528060163,超话小主持人（戴戴的喜多呀超话）,,四川,m,370,740,845,204,0,2,206
1,5155626020243268,2980714025,2025-04-16 00:26:46,"<a href=/n/我的印象笔记 usercard=""name=@我的印象笔记"">@我的印象笔记</a>",来自越南,5155852147755000,0,0,@我的印象笔记,1285599035,professorli,https://weibo.com/u/1285599035,,还未成熟就老了,上海 浦东新区,m,636,4685,8735,180,89,74,343
2,5155626020243268,2980714025,2025-04-15 10:01:00,还有一切电子产品，单纯建议就行，不要指定一个型号，让他自己做决定，不然就是终身售后。,来自云南,5155634269915820,1,0,还有一切电子产品，单纯建议就行，不要指定一个型号，让他自己做决定，不然就是终身售后。,5684448212,小花猫喜欢说晚安,https://weibo.com/u/5684448212,,小苦瓜,山东 潍坊,f,23,267,3354,7,1,8,16
3,5155626020243268,2980714025,2025-04-15 10:00:59,牢记放下助人情节，尊重他人命运,来自河北,5155634267556709,1,0,牢记放下助人情节，尊重他人命运,1836688792,不见风不盼雪,https://weibo.com/u/1836688792,,呵呵乐...,福建,m,239,863,7645,30,11,19,60
4,5155626020243268,2980714025,2025-04-15 10:00:31,不止是这些，所有别人的事，我觉得都不要介入，别人真的不需要你的建议。每个人都有每个人的课题，都需要自己去书写。,来自云南,5155634148283541,0,0,不止是这些，所有别人的事，我觉得都不要介入，别人真的不需要你的建议。每个人都有每个人的课题，都需要自己去书写。,5793275113,rebeccacha1111,https://weibo.com/u/5793275113,,,台湾 台北市,f,126,759,1227,8,1,2,11
5,5155626020243268,2980714025,2025-04-15 10:06:49,不对，还要加上一个不要给亲戚介绍工作,来自河北,5155635735562572,1,0,不对，还要加上一个不要给亲戚介绍工作,6320953192,倪好的ax,https://weibo.com/u/6320953192,超话粉丝大咖（军事博主圈超话）,,其他,m,60,165,196,"14,323",0,0,"14,323"
6,5155626020243268,2980714025,2025-04-15 10:00:57,还有小孩考大学，不要随便给建议，社会变化太快了，你给的建议大概是错的，就算是自己的小孩也要谨慎，不要自以为是。,来自河北,5155634263098022,0,0,还有小孩考大学，不要随便给建议，社会变化太快了，你给的建议大概是错的，就算是自己的小孩也要谨慎，不要自以为是。,5880154389,上上谦0908,https://weibo.com/u/5880154389,超话粉丝大咖（军事博主圈超话）,,湖南 长沙,f,1,136,322,"13,076",0,1,"13,077"
7,5155626020243268,2980714025,2025-04-15 09:58:23,是的，这个世界就是要说别人爱听的话，别管对与错,来自黑龙江,5155633611932810,1,0,是的，这个世界就是要说别人爱听的话，别管对与错,1830907394,小时候被狗吓过呢,https://weibo.com/u/1830907394,超话粉丝大咖（军事博主圈超话）,,上海,m,97,116,568,"14,498",0,0,"14,498"
8,5155626020243268,2980714025,2025-04-15 09:58:22,自己不干涉别人选择 也不要被别人干涉,来自重庆,5155633608525473,1,0,自己不干涉别人选择 也不要被别人干涉,5781748537,打酱油的小盆有,https://weibo.com/u/5781748537,超话粉丝大咖（军事博主圈超话）,,其他,m,67,69,424,"16,788",0,0,"16,788"
9,5155626020243268,2980714025,2025-04-15 10:01:48,有道理,来自福建,5155634471766330,0,0,有道理,3836359353,ki_051840,https://weibo.com/u/3836359353,,,上海 闵行区,m,69,99,734,1,0,1,2
10,5155626020243268,2980714025,2025-04-15 10:01:11,不要随便 介入别人因果 我小妈在我结婚的时候瞎插出车祸了,来自安徽,5155634316842349,0,0,不要随便 介入别人因果 我小妈在我结婚的时候瞎插出车祸了,5997329797,小飓风201608,https://weibo.com/u/5997329797,超话粉丝大咖（军事博主圈超话）,,湖南 长沙,m,95,114,364,"14,508",0,0,"14,508"
11,5155626020243268,2980714025,2025-04-15 10:00:59,不要随便 介入别人因果 我小妈在我结婚的时候瞎插出车祸了,来自云南,5155634266247452,0,0,不要随便 介入别人因果 我小妈在我结婚的时候瞎插出车祸了,2903380161,移动电磁炮,https://weibo.com/u/2903380161,,,陕西,m,297,1154,7744,16,0,20,36
12,5155626020243268,2980714025,2025-04-15 10:00:30,还有一切电子产品，单纯建议就行，不要指定一个型号，让他自己做决定，不然就是终身售后。,来自河北,5155634144611960,0,0,还有一切电子产品，单纯建议就行，不要指定一个型号，让他自己做决定，不然就是终身售后。,2254220434,YETYUYHJ,https://weibo.com/u/2254220434,,,四川 成都,f,142,1141,1543,12,2,1,15
