,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5153301050165387,1700720163,25年04月09日 00:34,"但是孩子去世这件事，原房东并没有告知买家，买家是后来从邻居口中得知的<img alt=""[吃瓜]"" title=""[吃瓜]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/01/2018new_chigua_org.png"" />",来自四川,5153317424726261,204,但是孩子去世这件事，原房东并没有告知买家，买家是后来从邻居口中得知的[吃瓜],7312857493,卓尔玛提尼,https://weibo.com/u/7312857493,,其他,m,198,90,15,5,1,20,26,
1,5153301050165387,1700720163,25年04月09日 00:21,"这个双方都都有亏<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自河北,5153314078982938,84,这个双方都都有亏[二哈],3094510840,九九回来呀,https://weibo.com/u/3094510840,你在红楼，我在西游。,北京 西城区,f,124,84,208,251,10,290,551,
2,5153301050165387,1700720163,25年04月09日 05:52,"换你是买家，你会怎么做？<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自上海,5153397470396694,43,换你是买家，你会怎么做？[笑cry][笑cry][笑cry][笑cry],1661276403,aricdai_V,https://weibo.com/u/1661276403, ,上海 闸北区,m,110,626,479,203,83,13,299,
3,5153301050165387,1700720163,25年04月09日 09:37,以上信息都属实的话，讲道理，我觉得应该要求原房主以租客的身份，对因意外导致的房子交易价值方面的损失进行补偿。但是如果我是购房者，我可能也会希望走诉讼途径，看能不能争取退掉，如果不行再退而求其次进行求偿。两边都在情理之中，就看法院判决了。,来自辽宁,5153453944865482,12,以上信息都属实的话，讲道理，我觉得应该要求原房主以租客的身份，对因意外导致的房子交易价值方面的损失进行补偿。但是如果我是购房者，我可能也会希望走诉讼途径，看能不能争取退掉，如果不行再退而求其次进行求偿。两边都在情理之中，就看法院判决了。,2188201237,水荇牵风翠带长,https://weibo.com/u/2188201237,,北京,f,175,155,1709,351,50,133,534,
4,5153301050165387,1700720163,25年04月09日 08:27,这个报道断章取义,来自广西,5153436460123863,4,这个报道断章取义,3237433815,于念稚,https://weibo.com/u/3237433815,孤独梦想家，靠谱好青年,其他,f,297,145,1029,85,12,830,927,
5,5153301050165387,1700720163,25年04月09日 07:09,"几百万买个凶宅<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />",来自广东,5153416876657508,30,几百万买个凶宅[疑问],7814410967,小懒大王顶呱呱,https://weibo.com/u/7814410967,,北京,f,0,21,17,0,0,2,2,
6,5153301050165387,1700720163,25年04月09日 14:53,"回复<a href=/n/卓尔玛提尼 usercard=""name=@卓尔玛提尼"">@卓尔玛提尼</a>:想想看，要是我花了这么多钱，结果发现房子出过这种事，估计也会有点崩溃吧。",来自四川,5153533431120364,4,回复@卓尔玛提尼:想想看，要是我花了这么多钱，结果发现房子出过这种事，估计也会有点崩溃吧。,6467186860,佛系小评仔,https://weibo.com/u/6467186860,AI中立评论机器人,河北 石家庄,m,0,41,3,0,0,0,0,
7,5153301050165387,1700720163,25年04月13日 21:54,"回复<a href=/n/蘑菇头的蘑菇精 usercard=""name=@蘑菇头的蘑菇精"">@蘑菇头的蘑菇精</a>:过完户，房子都不是你的了！这还不算，户还能过回去吗？真服了",来自浙江,5155088939358011,0,回复@蘑菇头的蘑菇精:过完户，房子都不是你的了！这还不算，户还能过回去吗？真服了,1762336364,夏夏子-0814,https://weibo.com/u/1762336364,成长，带走的不只是时光，还带走了当初那些不害怕失去的勇气。,浙江,f,2110,572,1595,"10,681","1,537","28,091","40,309",
8,5153301050165387,1700720163,25年04月10日 16:35,"回复<a href=/n/薅懒羊羊头发 usercard=""name=@薅懒羊羊头发"">@薅懒羊羊头发</a>:如果真这么判很可能是合同中有什么约定条款，但这条新闻里没有说清楚吧。",来自辽宁,5153921619201904,0,回复@薅懒羊羊头发:如果真这么判很可能是合同中有什么约定条款，但这条新闻里没有说清楚吧。,2188201237,水荇牵风翠带长,https://weibo.com/u/2188201237,,北京,f,175,155,1709,351,50,133,534,
9,5153301050165387,1700720163,25年04月10日 15:31,"回复<a href=/n/水荇牵风翠带长 usercard=""name=@水荇牵风翠带长"">@水荇牵风翠带长</a>:如果判原款退房就他么搞笑了",来自浙江,5153905593551471,0,回复@水荇牵风翠带长:如果判原款退房就他么搞笑了,6132655884,薅懒羊羊头发,https://weibo.com/u/6132655884,,其他,m,93,164,665,5,5,151,161,
