,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5153301247298211,1700720163,25年04月09日 00:17,"买家小孩估计21.9月入学，24.9月都毕业了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自浙江,5153313189529693,43,买家小孩估计21.9月入学，24.9月都毕业了[允悲],1898505902,BlueMaxZ,https://weibo.com/u/1898505902,看山是只北极狐,其他,m,89,284,842,30,19,26,75
1,5153301247298211,1700720163,25年04月08日 23:47,这个办法比较公允。事情是买卖完成之后发生的，原房主是租赁，虽没有租赁合同，有中介能证明或买卖合同有约定，照样可以判定为租赁。,来自山东,5153305463620690,36,这个办法比较公允。事情是买卖完成之后发生的，原房主是租赁，虽没有租赁合同，有中介能证明或买卖合同有约定，照样可以判定为租赁。,2437060457,一地的蒜皮,https://weibo.com/u/2437060457,#南无阿弥陀佛#,山东 济南,m,200,797,905,89,39,94,222
2,5153301247298211,1700720163,25年04月09日 01:41,"所以，买家买到凶宅，最后还亏300万？<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自广东,5153334306538691,13,所以，买家买到凶宅，最后还亏300万？[泪][泪],5863075645,惘然离夕兮,https://weibo.com/u/5863075645,,广东,f,29,60,102,34,1,22,57
3,5153301247298211,1700720163,25年04月09日 09:17,当年买家完全可以买小区其他人的房子啊，一样的有学位啊，,来自四川,5153448992181965,6,当年买家完全可以买小区其他人的房子啊，一样的有学位啊，,2830794864,初夏俊酱,https://weibo.com/u/2830794864,,四川 成都,f,147,864,1731,206,55,123,384
4,5153301247298211,1700720163,25年04月09日 08:05,人家起诉的时候房价并没有如此,来自广东,5153430923643861,0,人家起诉的时候房价并没有如此,2316988045,小米乐乖乖,https://weibo.com/u/2316988045,爱干净,广东 深圳,f,123,164,1294,151,35,263,449
5,5153301247298211,1700720163,25年04月09日 00:47,卖家肯定不乐意啊。所以才扯,来自广东,5153320620786625,1,卖家肯定不乐意啊。所以才扯,7732494817,礼管家03286,https://weibo.com/u/7732494817,,其他,m,12,41,4,1,0,1,2
6,5153301247298211,1700720163,25年04月10日 06:32,"回复<a href=/n/比比5475 usercard=""name=@比比5475"">@比比5475</a>:哦，钱江晚报这篇报道没写你说的这个信息，只写了微信截图有返祖一年的信息。",来自山东,5153769734276128,0,回复@比比5475:哦，钱江晚报这篇报道没写你说的这个信息，只写了微信截图有返祖一年的信息。,2437060457,一地的蒜皮,https://weibo.com/u/2437060457,#南无阿弥陀佛#,山东 济南,m,200,797,905,89,39,94,222
7,5153301247298211,1700720163,25年04月12日 22:01,"回复<a href=/n/惘然离夕兮 usercard=""name=@惘然离夕兮"">@惘然离夕兮</a>:不止，如果退房不成功，那凶宅还不一定卖得出去，卖得出去肯定都得是以低廉的价格，买家实惨，如果原房主在事件第一时间告知，人家肯定就不买了，还不会亏，而且肯定能在同小区买到心意的房子，享受到学位，住进去一年才被邻居告知，换谁都很气愤吧，不告她恶意隐瞒赔偿精神损失都算好的了",来自浙江,5154728343506051,0,回复@惘然离夕兮:不止，如果退房不成功，那凶宅还不一定卖得出去，卖得出去肯定都得是以低廉的价格，买家实惨，如果原房主在事件第一时间告知，人家肯定就不买了，还不会亏，而且肯定能在同小区买到心意的房子，享受到学位，住进去一年才被邻居告知，换谁都很气愤吧，不告她恶意隐瞒赔偿精神损失都算好的了,2164739621,XXXGGDD,https://weibo.com/u/2164739621,,其他,f,32,122,17,3,0,4,7
8,5153301247298211,1700720163,25年04月10日 06:37,"回复<a href=/n/一地的蒜皮 usercard=""name=@一地的蒜皮"">@一地的蒜皮</a>:前阵子买家视角上火热搜，有心的会搜的",来自山东,5153771073308112,0,回复@一地的蒜皮:前阵子买家视角上火热搜，有心的会搜的,1826298514,比比5475,https://weibo.com/u/1826298514,,新疆 克拉玛依,f,4,240,206,355,9,750,"1,114"
9,5153301247298211,1700720163,25年04月09日 19:34,"回复<a href=/n/一地的蒜皮 usercard=""name=@一地的蒜皮"">@一地的蒜皮</a>:你看清楚，人家在购房者协议写的延迟一年交房，切保证不能是凶宅",来自山东,5153604345011259,1,回复@一地的蒜皮:你看清楚，人家在购房者协议写的延迟一年交房，切保证不能是凶宅,1826298514,比比5475,https://weibo.com/u/1826298514,,新疆 克拉玛依,f,4,240,206,355,9,750,"1,114"
