,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5156570050071610,1959830294,25年04月18日 00:13,我其实担心的是，她的收益从15%跌到5%，就开始焦虑买课。之后如果有波动，只会更紧张。她的退休金不高，我赔两万无所谓，她赔两万就会更不自信，容易更想翻本，做出自己难受的操作。然后还不好意思跟我和我爸说。就挺难受的。这事儿发生的概率还不小。,来自广东,5156573480225950,199,我其实担心的是，她的收益从15%跌到5%，就开始焦虑买课。之后如果有波动，只会更紧张。她的退休金不高，我赔两万无所谓，她赔两万就会更不自信，容易更想翻本，做出自己难受的操作。然后还不好意思跟我和我爸说。就挺难受的。这事儿发生的概率还不小。,1959830294,汪有,https://weibo.com/u/1959830294,2024微博年度新知博主 科学科普博主,汪有，啥都有,广东 广州,m,1387716,794,13285,"1,225,481","2,135,214","20,520,841","23,881,536"
1,5156570050071610,1959830294,25年04月18日 00:11,对，她上课上得开心，你为什么非得用你的认知去禁止她上课呢？她就算学了之后拿一两万去投资当给市场交学费，比起你给她两万存卡里，她获得的情绪价值更高呢,来自广东,5156573048212189,10,对，她上课上得开心，你为什么非得用你的认知去禁止她上课呢？她就算学了之后拿一两万去投资当给市场交学费，比起你给她两万存卡里，她获得的情绪价值更高呢,1822780373,大肥璇,https://weibo.com/u/1822780373,,就这么低调地一直幸福下去 把自己当成自己的女儿来对待，爱护她，欣赏她，会想办法帮她进步，也会无条件地接受她,广东 广州,f,379,273,2598,"2,227",182,569,"2,978"
2,5156570050071610,1959830294,25年04月18日 06:52,"我家亲戚也这样的，学起来永无止尽，跟赌博一样，总想着下一次就翻盘了。用自己的养老金，用完了用儿女给的钱，没钱了骗儿女的钱，儿女发现以后不给钱了以后，他在外面借钱，债主上儿女家要钱，每次也不多，一次几大千小一万的吧。七十几岁的人了，现在还在买买买<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自江苏,5156673879540735,6,我家亲戚也这样的，学起来永无止尽，跟赌博一样，总想着下一次就翻盘了。用自己的养老金，用完了用儿女给的钱，没钱了骗儿女的钱，儿女发现以后不给钱了以后，他在外面借钱，债主上儿女家要钱，每次也不多，一次几大千小一万的吧。七十几岁的人了，现在还在买买买[微笑],1978188573,陆地鲨鱼闻得到土臭素,https://weibo.com/u/1978188573,,土腥味重的淡水鱼我不吃。,江苏 南京,f,186,386,9058,"1,189","1,451",954,"3,594"
3,5156570050071610,1959830294,25年04月18日 09:55,很难竞争的过。我们还要工作，但骗子的工作就是诈骗容易上当的家人…他们甚至能做到时时刻刻每时每刻嘘寒问暖（而且搞得很难受的是，他们洗脑的点都是特别击中老人内心的，相信，就花钱，发现被骗，又难受…）,来自浙江,5156720024749037,7,很难竞争的过。我们还要工作，但骗子的工作就是诈骗容易上当的家人…他们甚至能做到时时刻刻每时每刻嘘寒问暖（而且搞得很难受的是，他们洗脑的点都是特别击中老人内心的，相信，就花钱，发现被骗，又难受…）,6240826277,求是猫,https://weibo.com/u/6240826277,,求是喵喵喵喵喵。记录生活和猫猫。,北京 西城区,f,51,305,699,158,138,196,492
4,5156570050071610,1959830294,25年04月18日 05:22,那需要你安慰她理解她。千万别在讽刺她。衰老本身已经很让人难过。,来自中国香港,5156651321525080,3,那需要你安慰她理解她。千万别在讽刺她。衰老本身已经很让人难过。,7737873065,用户7737873065,https://weibo.com/u/7737873065,,,广东 广州,f,8,212,413,5,2,21,28
5,5156570050071610,1959830294,25年04月18日 08:57,"我关注了一个up主炒股很牛，管理家里的大头资金。她妈妈买课偷偷自己炒股然后亏了快200w…后来撑不住和儿子说了，儿子发动态说赚的钱不够他妈亏的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自北京,5156705438270108,4,我关注了一个up主炒股很牛，管理家里的大头资金。她妈妈买课偷偷自己炒股然后亏了快200w…后来撑不住和儿子说了，儿子发动态说赚的钱不够他妈亏的[允悲][允悲][允悲],2941789821,ApAnpAndAR,https://weibo.com/u/2941789821,,Esse est Percipi,海外 其他,m,233,553,1468,458,256,105,819
6,5156570050071610,1959830294,25年04月18日 13:14,"回复<a href=/n/用户5518046800 usercard=""name=@用户5518046800"">@用户5518046800</a>:当你亲妈上当受骗了来你面前崩溃大哭的时候，什么课题分离，边界感毫无用处，自己亲妈大哭这个事本身就是能影响你的情绪的，压根无法分离。除非哭的是婆婆或者岳母。",来自广东,5156770163721334,1,回复@用户5518046800:当你亲妈上当受骗了来你面前崩溃大哭的时候，什么课题分离，边界感毫无用处，自己亲妈大哭这个事本身就是能影响你的情绪的，压根无法分离。除非哭的是婆婆或者岳母。,5088254429,新亭里,https://weibo.com/u/5088254429,,一个爱追剧的普通人,其他,f,32,408,159,147,3,20,170
7,5156570050071610,1959830294,25年04月18日 12:28,"回复<a href=/n/求是猫 usercard=""name=@求是猫"">@求是猫</a>:有些骗子还说不花钱小的就会惦记，还不如花在自己身上<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自重庆,5156758433301138,0,回复@求是猫:有些骗子还说不花钱小的就会惦记，还不如花在自己身上[允悲],3227027940,面瘫帝柿子妞,https://weibo.com/u/3227027940,,,重庆 南岸区,f,112,145,95,26,2,4,32
8,5156570050071610,1959830294,25年04月18日 10:26,"回复<a href=/n/汪有 usercard=""name=@汪有"">@汪有</a>:对的。其实他们接受不了亏钱的，我妈对自己这方面认知很清晰，所以坚决不入市<img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" /><img alt=""[笑cry]"" title=""[笑cry]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/4a/2018new_xiaoku_thumb.png"" />",来自广东,5156727762718261,0,回复@汪有:对的。其实他们接受不了亏钱的，我妈对自己这方面认知很清晰，所以坚决不入市[笑cry][笑cry],1734585397,草头乙和宝盖丁,https://weibo.com/u/1734585397,,好吃懒做，混吃等死,广东 广州,f,374,520,13311,"17,586","4,445","1,521","23,552"
9,5156570050071610,1959830294,25年04月18日 09:19,"回复<a href=/n/汪有 usercard=""name=@汪有"">@汪有</a>:同样的困境。老妈拿着短视频听来的“新知识”来和你分享，你马上回一句那不是前一阵刚辟谣过的么。就很难啊，互相生气",来自辽宁,5156710965575708,1,回复@汪有:同样的困境。老妈拿着短视频听来的“新知识”来和你分享，你马上回一句那不是前一阵刚辟谣过的么。就很难啊，互相生气,1435783634,AlexYuecn,https://weibo.com/u/1435783634,,,辽宁 沈阳,m,157,822,2248,669,101,100,870
