,comments_level_1_mid,main_body_uid,发布时间,处理内容,评论地点,mid,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5141958013750159,1237389341,25年03月08日 21:34,她应该不是房地产员工，如果是的话，不就有证据了么？,来自浙江,5142038065971817,2,她应该不是房地产员工，如果是的话，不就有证据了么？,1685207333,上了锁的窗,https://weibo.com/u/1685207333,,浙江 温州,m,719,1277,937,207,146,31,384,nan
1,5141962731290925,1237389341,25年03月08日 21:14,疑罪从无保护套路犯罪,来自山东,5142033018912802,9,疑罪从无保护套路犯罪,1928816321,天晴心轻,https://weibo.com/u/1928816321,乌云遮华夏，希望早日荡尽妖氛，还我大汉民族朗朗晴天,山东 济南,m,70,23,52,4,14,28,46,nan
2,5141962731290925,1237389341,25年03月08日 22:05,"回复<a href=/n/天晴心轻 usercard=""name=@天晴心轻"">@天晴心轻</a>:<img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" /><img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" /><img alt=""[汗]"" title=""[汗]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/28/2018new_han_org.png"" />",来自广东,5142045779297703,1,回复@天晴心轻:[汗][汗][汗],6255780394,牛大眼观茶,https://weibo.com/u/6255780394,煮酒论茶，泡财经，只买龙头；深度观察，顺势而为，大胆操作，以耐心守未来,广东,m,115,61,214,186,7,650,843,nan
3,5142020909959751,1237389341,25年03月08日 20:53,但这个没宰人，还付了三万首付,来自上海,5142027794388289,1,但这个没宰人，还付了三万首付,6317054871,用户6317054871,https://weibo.com/u/6317054871,,其他,m,170,823,3136,242,47,549,838,nan
4,5142020909959751,1237389341,25年03月11日 12:09,"回复<a href=/n/用户6317054871 usercard=""name=@用户6317054871"">@用户6317054871</a>:确实，后面涨了还能爆赚，一箭双雕，这么大的便宜，你不要错过哦<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />",来自海南,5142983150408191,0,回复@用户6317054871:确实，后面涨了还能爆赚，一箭双雕，这么大的便宜，你不要错过哦[可爱],6095093126,琼A眼镜叔,https://weibo.com/u/6095093126,,浙江,m,138,189,12,2,0,12,14,nan
5,5141975309223362,1237389341,25年03月08日 20:05,没有说高价吧？只能说是惠州的房不好卖！,来自广东,5142015710335721,2,没有说高价吧？只能说是惠州的房不好卖！,1426913905,Andy0307,https://weibo.com/u/1426913905,,广东 深圳,m,109,475,553,24,32,25,81,nan
6,5141958058839157,1237389341,25年03月08日 16:32,具体展开说,来自福建,5141962160342087,2,具体展开说,5770185399,彦12566,https://weibo.com/u/5770185399,,其他,m,425,1639,12738,12,43,228,283,nan
7,5141958058839157,1237389341,25年03月08日 20:17,"<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自广东,5142018617249084,1,[doge],7834122938,长安长长安安9,https://weibo.com/u/7834122938,聚是一团火，散是满天星！,北京,m,182,19,140,nan,nan,nan,nan,nan
8,5045220260187040,1482739370,24年06月14日 17:36,期房的销售确实是有专门的监管帐户的，必须专款专用。,来自黑龙江,5045220666509858,8,期房的销售确实是有专门的监管帐户的，必须专款专用。,1482739370,作手泽文,https://weibo.com/u/1482739370,和会炒股的比带娃，和会带娃的比做菜，和会做菜的比养鱼，这些你都会？那还不赶紧点击关注，外加转赞评三连击。,黑龙江 哈尔滨,m,359143,427,33624,"258,476","124,663","1,342,687","1,725,826",财经博主
9,5045220260187040,1482739370,24年06月18日 10:38,"回复<a href=/n/作手泽文 usercard=""name=@作手泽文"">@作手泽文</a>:现在是取消期房全面实行现房销售的时机，可惜某些部门 尸位素餐",来自贵州,5046564991271684,0,回复@作手泽文:现在是取消期房全面实行现房销售的时机，可惜某些部门 尸位素餐,1401536723,纯粹的趋势交易者,https://weibo.com/u/1401536723,月风门下小学童，本微博为自己交易记录及学习心得，不对任何股票有推荐买入！,海外,m,1217,1168,11876,"2,742","4,590","1,695","9,027",nan
10,5045220260187040,1482739370,24年06月15日 12:15,"回复<a href=/n/纯粹的趋势交易者 usercard=""name=@纯粹的趋势交易者"">@纯粹的趋势交易者</a>:是不光是银行的事，肯定是有主管部门在利益勾兑才能放款。",来自黑龙江,5045502228041309,4,回复@纯粹的趋势交易者:是不光是银行的事，肯定是有主管部门在利益勾兑才能放款。,1482739370,作手泽文,https://weibo.com/u/1482739370,和会炒股的比带娃，和会带娃的比做菜，和会做菜的比养鱼，这些你都会？那还不赶紧点击关注，外加转赞评三连击。,黑龙江 哈尔滨,m,359143,427,33624,"258,476","124,663","1,342,687","1,725,826",财经博主
11,5045220260187040,1482739370,24年06月15日 11:18,"回复<a href=/n/作手泽文 usercard=""name=@作手泽文"">@作手泽文</a>:这个钱是住建签字走款，不关银行事",来自贵州,5045487948271164,0,回复@作手泽文:这个钱是住建签字走款，不关银行事,1401536723,纯粹的趋势交易者,https://weibo.com/u/1401536723,月风门下小学童，本微博为自己交易记录及学习心得，不对任何股票有推荐买入！,海外,m,1217,1168,11876,"2,742","4,590","1,695","9,027",nan
12,5045456283632766,1482739370,24年06月15日 09:23,告银行就是告地方政府，因为没有地方政府的授权，银行不会把监管账户的钱违规放出去的。,来自黑龙江,5045458988961125,11,告银行就是告地方政府，因为没有地方政府的授权，银行不会把监管账户的钱违规放出去的。,1482739370,作手泽文,https://weibo.com/u/1482739370,和会炒股的比带娃，和会带娃的比做菜，和会做菜的比养鱼，这些你都会？那还不赶紧点击关注，外加转赞评三连击。,黑龙江 哈尔滨,m,359143,427,33624,"258,476","124,663","1,342,687","1,725,826",财经博主
13,5045456283632766,1482739370,24年06月19日 08:51,不怕白衣仁揍吗？,来自北京,5046900436763932,1,不怕白衣仁揍吗？,6592327948,老忽今天认为了吗,https://weibo.com/u/6592327948,胡铁退认为，我们应该一边吸金，一边洗净。,北京,m,22,311,221,19,10,79,108,nan
14,5045456283632766,1482739370,24年06月15日 10:54,那就告政府！,来自上海,5045481895625986,1,那就告政府！,1553387427,雄鸡何时复海棠,https://weibo.com/u/1553387427,戳穿一切大忽悠，还世事真相！,上海,m,543,872,248,57,7,76,140,nan
