,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,评论地点,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,4758319270725208,2036000755,2022-04-15 08:33:14,听现场的时候就好喜欢！最期待的一首歌！,4758435084372488,0,3,听现场的时候就好喜欢！最期待的一首歌！,,6035280357,拯救番茄行动,https://weibo.com/u/6035280357,,山东,f,587,143,1483,"1,351",9,"2,805","4,165",
1,4758319270725208,2036000755,2022-04-15 09:38:49,"最期待的歌<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",4758451589484242,0,0,最期待的歌[打call][打call][打call][打call],,7182809249,really03-火火,https://weibo.com/u/7182809249,马囧灿，阴暗批在养小棉花们中~ 没错就是一个很烂的人,其他,f,246,658,883,"2,083",258,"4,113","6,454",
2,4758319270725208,2036000755,2022-04-15 07:58:56,来啦来啦,4758426453018069,0,0,来啦来啦,,5318838951,不爱吃苹果嘿,https://weibo.com/u/5318838951,炸掉这个世界💥,江苏,f,205,131,860,"2,175",98,"2,983","5,256",
3,4758319270725208,2036000755,2022-04-15 20:14:57,"再次为傀儡哐哐捶大墙<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" /><img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",4758611677678938,0,0,再次为傀儡哐哐捶大墙[泪][泪][泪],,7610224826,在每一句即兴对白里疯狂,https://weibo.com/u/7610224826,奇怪的话唠,海外 意大利,m,33,308,451,297,20,456,773,
4,4758319270725208,2036000755,2022-04-15 19:04:41,"期待现场版<img alt=""[好喜欢]"" title=""[好喜欢]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d6/lxhlike_thumb.gif"" />",4758593993181624,0,0,期待现场版[好喜欢],,5635760470,CannonCannon,https://weibo.com/u/5635760470,梦想是去流浪,四川 成都,m,89,548,4542,"2,083",203,"3,479","5,765",
5,4758319270725208,2036000755,2022-04-15 14:22:53,这首live的听感超绝,4758523077198895,0,0,这首live的听感超绝,,7484693406,肖哈哈009,https://weibo.com/u/7484693406,,重庆,f,7,107,11,4,0,46,50,
6,4758319270725208,2036000755,2022-04-15 10:44:00,好听好听，已经在循环了！ ,4758467992881213,0,0,好听好听，已经在循环了！ http://t.cn/A6617Igp,,5266230099,扶苏苏苏,https://weibo.com/u/5266230099,不开心就脸臭 这是你自由💙 镇魂,海南 海口,f,85,654,27905,"4,686",265,"4,984","9,935",
7,4758319270725208,2036000755,2022-04-15 01:21:15,"<img alt=""[舔屏]"" title=""[舔屏]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/2018new_tianping_org.png"" /><img alt=""[舔屏]"" title=""[舔屏]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/2018new_tianping_org.png"" /><img alt=""[舔屏]"" title=""[舔屏]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/3e/2018new_tianping_org.png"" />半夜发歌 幸好没睡",4758326372205827,0,0,[舔屏][舔屏][舔屏]半夜发歌 幸好没睡,,5825001477,费话小狗,https://weibo.com/u/5825001477,下个月上岸！⛰️,四川,f,235,1173,1406,"1,958",59,"2,025","4,042",
8,4758319270725208,2036000755,2022-05-03 17:03:15,“人不过就这一世，我需要疯狂一次，大不了陪你到死”,4765086415852294,0,0,“人不过就这一世，我需要疯狂一次，大不了陪你到死”,来自广东,7687510039,鼎乐文化,https://weibo.com/u/7687510039,致力于推广优质的原创音乐人及原创音乐作品。,其他,f,4799,58,30,132,242,711,"1,085",广州鼎乐文化传播有限公司官方微博
9,4758319270725208,2036000755,2022-04-15 01:58:18,"<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" /><img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",4758335695881320,0,0,[打call][打call][打call][送花花][送花花],,6465249561,soo嘎嘎嘎,https://weibo.com/u/6465249561,Live Wild,其他,f,54,365,213,99,1,232,332,
