,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,评论地点,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5137761419396332,3549916270,2025-02-25 09:00:18,"【<a href=""//s.weibo.com/weibo?q=%23%E6%83%B3%E8%A1%A5%E6%B0%94%E8%A1%80%E8%AF%95%E8%BF%99%E4%B8%AA%E7%BA%A2%E7%B3%96%E5%A7%9C%E8%8C%B6%23"" target=""_blank"">#想补气血试这个红糖姜茶#</a>】",5137861995659838,0,0,【#想补气血试这个红糖姜茶#】,,3328824184,宁夏消防,https://weibo.com/u/3328824184,宁夏回族自治区消防救援总队官方微博,发现身边的火灾隐患和消防违法行为请拨打12345进行投诉举报,宁夏,m,321046,456,39227,"52,904","55,412","87,164","195,480"
1,5137761419396332,3549916270,2025-02-25 08:46:21,"【<a href=""//s.weibo.com/weibo?q=%23%E6%83%B3%E8%A1%A5%E6%B0%94%E8%A1%80%E8%AF%95%E8%BF%99%E4%B8%AA%E7%BA%A2%E7%B3%96%E5%A7%9C%E8%8C%B6%23"" target=""_blank"">#想补气血试这个红糖姜茶#</a>】",5137858483978578,0,0,【#想补气血试这个红糖姜茶#】,,2729749110,临沂市消防救援支队,https://weibo.com/u/2729749110,山东省临沂市消防救援支队官方微博,红色血脉，蓝色担当，你平安，我心安。 欢迎关注临沂消防微博。,山东,m,41608,419,26170,"40,705","7,770","44,579","93,054"
2,5137761419396332,3549916270,2025-03-14 17:10:19,在家的时候妈妈会给煮红糖姜茶，现在出门在外自己买买便携的李子柒红糖姜茶冲泡就完事了,5144145900603756,2,5,在家的时候妈妈会给煮红糖姜茶，现在出门在外自己买买便携的李子柒红糖姜茶冲泡就完事了,来自广东,7627698322,笑成沙子,https://weibo.com/u/7627698322,,,其他,f,254,758,1144,811,63,929,"1,803"
3,5137761419396332,3549916270,2025-02-25 22:24:37,看着就很好喝,5138064402548898,0,0,看着就很好喝,来自湖北,7472904302,君惜嘉蕊宜室同芳,https://weibo.com/u/7472904302,超话粉丝钻咖（任嘉伦超话）,任嘉伦是我在万千星河里，寻到的一颗启明星，温暖明亮，坚韧有力量，照亮人心房！,湖北 十堰,f,380,520,3696,"21,961","1,180","35,992","59,133"
4,5137761419396332,3549916270,2025-02-25 07:43:25,"学起来<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",5137842643404806,0,0,学起来[送花花],来自上海,7785721539,情之向妍,https://weibo.com/u/7785721539,超话粉丝大咖（袁冰妍超话）,闲散,上海,m,102600,3399,7507,"192,146","8,110","284,518","484,774"
5,5137761419396332,3549916270,2025-02-25 07:38:15,早,5137841342645783,0,0,早,来自江苏,6455735544,IAM_四喜胡桃,https://weibo.com/u/6455735544,娱乐博主 超话粉丝钻咖（苏新皓超话）,ALL FOR SU❤️ONLY FOR MY LIGHT 窝系etj 毒毒毒毒毒毒毒唯,其他,f,1361,1251,4514,"26,856","471,947","13,079","511,882"
6,5137761419396332,3549916270,2025-02-25 07:18:13,早,5137836303188116,0,0,早,来自广东,5445496247,作旎的猫,https://weibo.com/u/5445496247,娱乐博主 超话粉丝钻咖（杨紫超话）,毒唯 🈲快转,广东,f,12375,2385,5898,"323,586","1,802","146,727","472,115"
7,5137761419396332,3549916270,2025-02-25 07:10:49,很好喝的呦,5137834438558382,0,0,很好喝的呦,来自北京,6261195378,兵羽-2017,https://weibo.com/u/6261195378,,万一努力的尽头，是你呢？,北京 海淀区,f,290,88,1712,502,70,"1,421","1,993"
8,5137761419396332,3549916270,2025-02-25 06:57:47,"早安<img alt=""[羞嗒嗒]"" title=""[羞嗒嗒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/df/lxhxiudada_org.gif"" />",5137831159137626,0,0,早安[羞嗒嗒],来自福建,5690074572,树鱼Begonia,https://weibo.com/u/5690074572,超话创作官（丁禹兮超话）,丁禹兮全肯定 丁禹兮全自由,福建 厦门,f,1968,554,1152,"38,158","5,722","53,684","97,564"
9,5137761419396332,3549916270,2025-02-25 06:56:52,好的,5137830928188220,0,0,好的,来自福建,7458993228,Zzix-iiha,https://weibo.com/u/7458993228,超话粉丝钻咖（朱志鑫超话）,“我们的目标 第一☝🏻”     #朱志鑫 051#               @TOP登陆少年-朱志鑫 ​​​我永远爱着你！！！,福建,f,78,305,5824,"7,997",138,"1,059","9,194"
