,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5137869122043932,5186856444,2025-02-25 10:32:18,关注,5137885141665315,1,3,关注,3170665862,成都地铁运营,https://weibo.com/u/3170665862,成都地铁运营有限公司,欢迎关注成都地铁运营官方微博，我们坚持“秉持真诚，服务大众”的理念竭诚为大家服务。服务与监督热线：61638000。,四川 成都,m,387674,595,76875,"1,175,923","165,915","1,352,225","2,694,063"
1,5137869122043932,5186856444,2025-02-26 17:07:46,"普法路上，一起前行<a href=/n/菏泽市人民检察院 usercard=""name=@菏泽市人民检察院"">@菏泽市人民检察院</a>",5138347053287827,0,0,普法路上，一起前行@菏泽市人民检察院,5455970373,菏泽市人民检察院,https://weibo.com/u/5455970373,菏泽市人民检察院官方微博,山东省菏泽市人民检察院官方微博账号,山东,m,72332,10619,124351,"1,319,585","1,900,192","1,941,864","5,161,641"
2,5137869122043932,5186856444,2025-02-26 15:38:41,"关注！<a href=/n/菏泽市人民检察院 usercard=""name=@菏泽市人民检察院"">@菏泽市人民检察院</a>",5138324633160269,0,0,关注！@菏泽市人民检察院,5455970373,菏泽市人民检察院,https://weibo.com/u/5455970373,菏泽市人民检察院官方微博,山东省菏泽市人民检察院官方微博账号,山东,m,72332,10619,124351,"1,319,585","1,900,192","1,941,864","5,161,641"
3,5137869122043932,5186856444,2025-02-26 09:07:10,关注,5138226105025619,0,0,关注,5192877731,平利检察,https://weibo.com/u/5192877731,陕西省安康市平利县人民检察院官方微博,强化法律监督 维护公平正义,陕西 安康,f,3013,1249,95153,"420,499","331,181","901,211","1,652,891"
4,5137869122043932,5186856444,2025-02-25 17:32:18,"关注！<a href=/n/菏泽市人民检察院 usercard=""name=@菏泽市人民检察院"">@菏泽市人民检察院</a>",5137990840750576,0,0,关注！@菏泽市人民检察院,5455970373,菏泽市人民检察院,https://weibo.com/u/5455970373,菏泽市人民检察院官方微博,山东省菏泽市人民检察院官方微博账号,山东,m,72332,10619,124351,"1,319,585","1,900,192","1,941,864","5,161,641"
5,5137869122043932,5186856444,2025-02-25 16:41:30,关注,5137978056249438,0,0,关注,5451078921,绵阳市经开区分局,https://weibo.com/u/5451078921,四川省绵阳市经开区分局官方微博,,四川,m,3983,1039,36582,"600,596","9,106","482,407","1,092,109"
6,5137869122043932,5186856444,2025-02-25 16:04:30,"关注热点，传播法律知识<a href=/n/菏泽市人民检察院 usercard=""name=@菏泽市人民检察院"">@菏泽市人民检察院</a>",5137968742272936,0,0,关注热点，传播法律知识@菏泽市人民检察院,5455970373,菏泽市人民检察院,https://weibo.com/u/5455970373,菏泽市人民检察院官方微博,山东省菏泽市人民检察院官方微博账号,山东,m,72332,10619,124351,"1,319,585","1,900,192","1,941,864","5,161,641"
7,5137869122043932,5186856444,2025-02-25 16:04:18,"👉👉<a target=""_blank"" href=""https://weibo.com/2044263792/PfTS978vD""><img class=""icon-link"" title=""http://t.cn/A610iGMQ"" src=""https://h5.sinaimg.cn/upload/2015/09/25/3/timeline_card_small_weibo_default.png""/>微博正文</a> <a href=/n/成都高新法院 usercard=""name=@成都高新法院"">@成都高新法院</a>!",5137968693512630,0,0,👉👉http://t.cn/A610iGMQ @成都高新法院!,2044263792,成都共青团,https://weibo.com/u/2044263792,共青团成都市委员会官方微博,成都共青团是共青团成都市委官方微博，是展现成都共青团特色工作，交流青少年关注热点，引导青少年健康成长的互动平台，欢迎大家前来交流和分享！,四川 成都,m,2840285,4739,130138,"2,710,300","3,879,530","9,128,184","15,718,014"
8,5137869122043932,5186856444,2025-02-25 15:05:45,"<a href=/n/成都高新法院 usercard=""name=@成都高新法院"">@成都高新法院</a>",5137953959707110,0,0,@成都高新法院,1412484181,德州新闻网官方微博,https://weibo.com/u/1412484181,德州新闻网官方微博,违规举报电话 05342562871,山东,m,224046,1148,57865,"295,762","91,716","371,918","759,396"
9,5137869122043932,5186856444,2025-02-25 14:20:33,关注,5137942585019432,0,0,关注,5340438538,甘泉检察,https://weibo.com/u/5340438538,陕西省延安市甘泉县人民检察院官方微博,公以至诚，正以尽义。,陕西,m,20263,1228,119916,"1,134,155","188,669","1,371,902","2,694,726"
10,5137869122043932,5186856444,2025-02-25 14:01:01,"关注<a href=/n/成都高新法院 usercard=""name=@成都高新法院"">@成都高新法院</a>",5137937666671318,0,0,关注@成都高新法院,7764931195,淄博日报,https://weibo.com/u/7764931195,淄博日报官方微博,《淄博日报》是中共淄博市委机关报，1952年2月1日创刊。淄博日报社始终坚持正确的舆论导向，记录淄博人民辛勤劳动、艰苦创业的丰功伟绩，展现了淄博翻天覆地的巨大变化。,山东,m,18635,847,72503,"47,300","35,813","127,708","210,821"
11,5137869122043932,5186856444,2025-02-25 13:54:16,关注,5137935967982211,0,0,关注,2610786607,绵阳交警一大队,https://weibo.com/u/2610786607,绵阳市公安局交警直属一大队官方微博,辖区范围：北到高水中街、南到长虹大道啤酒厂路口、西至双碑立交桥、东边以涪江为界。发布绵阳城区路况信息、交通管制措施、宣传交通安全等。,四川 绵阳,m,223874,746,73650,"288,037","89,999","1,314,729","1,692,765"
12,5137869122043932,5186856444,2025-02-25 10:58:02,关注,5137891618983464,0,0,关注,5389080493,白石山林检,https://weibo.com/u/5389080493,吉林省白石山林区人民检察院官方微博,,吉林 吉林,m,4333,891,31952,"266,964","27,792","233,165","527,921"
13,5137869122043932,5186856444,2025-02-25 10:37:25,关注,5137886435082290,0,0,关注,3359245562,高新服务,https://weibo.com/u/3359245562,成都高新区智慧城市运行局官方微博,,四川,f,184848,784,82815,"1,049,319","62,512","2,365,170","3,477,001"
14,5137869122043932,5186856444,2025-02-25 10:09:28,"<a href=/n/成都高新法院 usercard=""name=@成都高新法院"">@成都高新法院</a>",5137879402021023,0,0,@成都高新法院,5135173028,平安盐源,https://weibo.com/u/5135173028,四川省凉山州盐源县公安局官方微博,这里是盐源县公安局官方微博，在这里您可以了解到盐源警方的新闻资讯。欢迎您给我们提出意见和建议，遇有危难请拨打110。,四川 凉山,f,8449,418,39604,"200,021","17,310","243,548","460,879"
15,5137869122043932,5186856444,2025-02-25 10:03:06,关注,5137877799796940,0,0,关注,5192877731,平利检察,https://weibo.com/u/5192877731,陕西省安康市平利县人民检察院官方微博,强化法律监督 维护公平正义,陕西 安康,f,3013,1249,95153,"420,499","331,181","901,211","1,652,891"
16,5137869122043932,5186856444,2025-02-26 09:35:39,"<a href=/n/成都高新法院 usercard=""name=@成都高新法院"">@成都高新法院</a> <a href=/n/正义广水 usercard=""name=@正义广水"">@正义广水</a> 【转需！<a href=""//s.weibo.com/weibo?q=%23%E4%B8%80%E7%A2%97%E6%B1%A4%E6%8B%AF%E6%95%91%E6%B0%94%E8%A1%80%E4%B8%8D%E8%B6%B3%E7%9A%84%E4%BD%A0%23"" target=""_blank"">#一碗汤拯救气血不足的你#</a>】",5138233273615320,0,0,@成都高新法院 @正义广水 【转需！#一碗汤拯救气血不足的你#】,5339538657,正义广水,https://weibo.com/u/5339538657,湖北省广水市人民检察院官方微博,,湖北 随州,m,4049,449,88775,"783,499","161,149","630,096","1,574,744"
17,5137869122043932,5186856444,2025-02-26 09:33:19,关注,5138232686151183,0,0,关注,5085476910,霍山检察,https://weibo.com/u/5085476910,安徽省六安市霍山县人民检察院官方微博,,安徽 六安,m,1469,453,12236,"6,278","1,995","25,387","33,660"
18,5137869122043932,5186856444,2025-02-25 16:48:28,关注,5137979807107377,0,0,关注,3547936113,滁州应急,https://weibo.com/u/3547936113,安徽省滁州市应急管理局官方微博,滁州市应急管理局官方微博,安徽,m,1848,331,10532,"72,256","1,623","64,650","138,529"
19,5137869122043932,5186856444,2025-02-25 16:42:10,"<img alt=""[挤眼]"" title=""[挤眼]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/43/2018new_jiyan_org.png"" /> 关注",5137978221660018,0,0,[挤眼] 关注,5140230107,薛城之声,https://weibo.com/u/5140230107,薛城区互联网信息办公室官方微博,,山东 枣庄,m,95111,451,23473,"50,459","7,363","57,548","115,370"
20,5137869122043932,5186856444,2025-02-25 16:42:02,"<a href=/n/成都高新法院 usercard=""name=@成都高新法院"">@成都高新法院</a>",5137978190466520,0,0,@成都高新法院,5140230107,薛城之声,https://weibo.com/u/5140230107,薛城区互联网信息办公室官方微博,,山东 枣庄,m,95111,451,23473,"50,459","7,363","57,548","115,370"
21,5137869122043932,5186856444,2025-02-25 16:41:57,关注,5137978166874438,0,0,关注,5140230107,薛城之声,https://weibo.com/u/5140230107,薛城区互联网信息办公室官方微博,,山东 枣庄,m,95111,451,23473,"50,459","7,363","57,548","115,370"
22,5137869122043932,5186856444,2025-02-25 16:38:22,关注,5137977267982089,0,0,关注,6154734003,泸州政法,https://weibo.com/u/6154734003,中国共产党泸州市委员会政法委员会官方微博,泸州市委政法委官方微博。,四川,f,13135,482,14641,"179,229","14,436","118,885","312,550"
23,5137869122043932,5186856444,2025-02-25 16:29:17,关注,5137974982086690,0,0,关注,5085476910,霍山检察,https://weibo.com/u/5085476910,安徽省六安市霍山县人民检察院官方微博,,安徽 六安,m,1469,453,12236,"6,278","1,995","25,387","33,660"
24,5137869122043932,5186856444,2025-02-25 15:55:57,"<a href=/n/成都高新法院 usercard=""name=@成都高新法院"">@成都高新法院</a>",5137966592690976,0,0,@成都高新法院,5381304837,黄骅检察,https://weibo.com/u/5381304837,河北省黄骅市人民检察院官方微博,黄骅市人民检察院官方微博欢迎您的关注！,河北,m,5082,337,30004,"139,888","3,259","133,570","276,717"
25,5137869122043932,5186856444,2025-02-25 15:55:51,关注,5137966565427740,0,0,关注,5381304837,黄骅检察,https://weibo.com/u/5381304837,河北省黄骅市人民检察院官方微博,黄骅市人民检察院官方微博欢迎您的关注！,河北,m,5082,337,30004,"139,888","3,259","133,570","276,717"
26,5137869122043932,5186856444,2025-02-25 15:22:45,"关注<img alt=""[太开心]"" title=""[太开心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1e/2018new_taikaixin_org.png"" />",5137958237114610,0,0,关注[太开心],3172724644,宁陕检察,https://weibo.com/u/3172724644,陕西省安康市宁陕县人民检察院官方微博,强化法律监督、维护公平正义， 服务保障民生、促进经济发展 ，为建设美好宁陕助力！宁陕县人民检察院欢迎您！全国检察机关统一举报电话：12309 宁陕县人民检察院举报电话：0915-6822000,陕西 安康,m,2987,1503,67195,"114,086","79,624","175,913","369,623"
