,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5111928538267793,6028334448,2024-12-16 08:17:58,任素汐的演技真的炸裂，好自然,来自广西,5112121799739483,0,89,任素汐的演技真的炸裂，好自然,7543040021,小猫咪抓蚊子,https://weibo.com/u/7543040021,,广西 桂林,f,21,142,274,63,3,260,326,
1,5111928538267793,6028334448,2024-12-16 22:09:15,"真的假的保险？贷款？咋玩<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自广东,5112330996160319,3,8,真的假的保险？贷款？咋玩[doge],3298289882,钱多多来钱儿,https://weibo.com/u/3298289882,这个世界比你想象中深奥,其他,f,83,439,656,507,31,"1,993","2,531",
2,5111928538267793,6028334448,2024-12-15 21:31:08,支持一下,来自新疆,5111959017494310,0,4,支持一下,5707796713,七落35186,https://weibo.com/u/5707796713,期待张哲瀚导演纪录片《八月》,其他,f,41664,3360,7036,"154,711","2,598","308,646","465,955",娱乐博主 超话粉丝大咖（熊猫守护者超话） 微博原创视频博主
3,5111928538267793,6028334448,2024-12-15 21:30:03,支持友友,来自山东,5111958749315741,0,1,支持友友,7766273848,冰雪火舞_,https://weibo.com/u/7766273848,体育博主,山东,f,222581,2675,14739,"253,834","44,909","1,310,937","1,609,680",体育博主 微博原创视频博主
4,5111928538267793,6028334448,2024-12-15 21:16:32,内容很精彩，值得推荐,来自四川,5111955344597221,0,0,内容很精彩，值得推荐,7766034989,妍如其茗,https://weibo.com/u/7766034989,娱乐八卦，影视花絮，军事动漫，社会热点，全方位报道，承接推广！,其他,f,80140,4650,25001,"892,980","134,836","8,077,389","9,105,205",四川长虹精密电子科技有限公司 工程师 电视剧博主 超话主持人（妍妍子晓晓茗超话） 微博原创视频博主
5,5111928538267793,6028334448,2024-12-15 21:10:53,来看看,来自中国台湾,5111953921935862,0,0,来看看,5592240468,情情就去看海,https://weibo.com/u/5592240468,分享好看的有趣的喜欢的有意义的，愿所遇皆温柔。,台湾,f,143082,5300,13590,"239,011","4,800","370,134","613,945",微博剪辑视频博主
6,5111928538267793,6028334448,2024-12-15 21:09:26,感谢分享,来自甘肃,5111953557030943,0,0,感谢分享,7800807818,电竞系学长,https://weibo.com/u/7800807818,合作或侵权请私信联系,广东,m,588964,12170,21019,,,,,游戏博主 超话创作官（和平精英超话） 微博原创视频博主
7,5111928538267793,6028334448,2024-12-18 18:11:32,什么剧,来自福建,5112995952724596,3,1,什么剧,2168969372,郭靖版小巧玲珑,https://weibo.com/u/2168969372,生活并不完美，但并不代表它不美……,福建 泉州,f,454,293,9478,"1,066",441,192,"1,699",
8,5111928538267793,6028334448,2024-12-15 21:54:42,这个剧真的好看！,来自天津,5111964948498940,0,2,这个剧真的好看！,1731123310,本间芽衣籽,https://weibo.com/u/1731123310,如有侵权 联系删除 盗我水印投诉到底,其他,f,179424,264,23921,"413,080","318,041","15,928,479","16,659,600",娱乐博主 微博原创视频博主
9,5111928538267793,6028334448,2024-12-17 14:10:53,………………乙方不容易。,来自浙江,5112573001470055,0,0,………………乙方不容易。,3153159962,Fiona_English_Club,https://weibo.com/u/3153159962,普通平凡、快乐健康,浙江 杭州,f,698,3438,87886,"4,388","4,536","2,003","10,927",杭州菲欧娜出国留学咨询服务有限公司
10,5111928538267793,6028334448,2024-12-16 02:11:53,"以后的你和我<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><a href=/n/包包只被爱包围 usercard=""name=@包包只被爱包围"">@包包只被爱包围</a>",来自北京,5112029671851361,0,1,以后的你和我[doge][doge][doge]@包包只被爱包围,1952541312,暴富的小鱼,https://weibo.com/u/1952541312,,北京,f,112884,1679,3756,"29,609","11,756","212,503","253,868",微博原创视频博主
11,5111928538267793,6028334448,2025-01-09 12:13:13,"业务能力杠杠的，人性格魅力大<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自河北,5120878310853508,0,2,业务能力杠杠的，人性格魅力大[doge],2631149057,2025生龙活虎蛇年行大运,https://weibo.com/u/2631149057,蛇年大吉ᥬ🌝᭄,河北,f,954,487,15919,"5,911",408,"2,700","9,019",
12,5111928538267793,6028334448,2024-12-15 21:30:20,支持博主,来自广东,5111958817473859,0,0,支持博主,5823217082,高碧瑶,https://weibo.com/u/5823217082,关注我，分享当下最好看电视剧还有明星，和美好的生活，视频来自网络，联系我，侵权就删除,广东 广州,f,272949,1008,34507,"540,652","119,907","13,047,111","13,707,670",娱乐博主 超话创作官（永夜星河超话） 微博原创视频博主
