,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5127112745293063,7191744979,2025-01-27 17:41:13,"这样的老板在哪领，我可以排队的<img alt=""[兔子]"" title=""[兔子]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c6/2018new_tuzi_org.png"" />",来自湖南,5127483840266353,0,1,这样的老板在哪领，我可以排队的[兔子],5765151816,姜戶穿南瓜,https://weibo.com/u/5765151816,已编辑。,广东 东莞,f,101,168,604,173,3,119,295
1,5127112745293063,7191744979,2025-01-26 17:12:06,"不错<img alt=""[并不简单]"" title=""[并不简单]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/aa/2018new_bingbujiandan_org.png"" />",来自广东,5127114119971698,0,1,不错[并不简单],5991442109,与你相遇是最闪耀的宝藏,https://weibo.com/u/5991442109,我与《心奇爆龙战车》的相遇就是最闪耀的宝藏。,广东 广州,f,231,3173,67562,"3,405","3,728","30,723","37,856"
2,5127112745293063,7191744979,2025-01-27 11:23:54,"这样的老板给我来一卡车<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自江西,5127388880443307,0,0,这样的老板给我来一卡车[doge],7623577023,一口吃一顿,https://weibo.com/u/7623577023,深海不会因为一杯沸水而加温,山西,f,10467,1815,9355,"1,574","2,079","1,060","4,713"
3,5127112745293063,7191744979,2025-01-27 00:17:48,"新的一年我也要变成爆金币女总裁，或者有个爆金币总裁朋友<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自广东,5127221256127302,0,0,新的一年我也要变成爆金币女总裁，或者有个爆金币总裁朋友[哈哈],5898026170,杮柿nice,https://weibo.com/u/5898026170,唯有青春和梦想不可辜负,上海 浦东新区,f,63,1894,5941,87,4,46,137
4,5127112745293063,7191744979,2025-01-26 20:59:15,绝对是妥妥的霸道女总裁,来自河南,5127171284932021,0,1,绝对是妥妥的霸道女总裁,6196106097,柠檬烟雨等,https://weibo.com/u/6196106097,最幸福的时刻 就是找对了人 他纵容你的习惯 并爱着你的一切,河南,f,332,2839,9406,104,54,95,253
5,5127112745293063,7191744979,2025-01-26 18:17:39,"上美也是霸道上了<img alt=""[金蛇送福]"" title=""[金蛇送福]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/2025_SnakeBlessings_org.png"" /><img alt=""[金蛇送福]"" title=""[金蛇送福]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/2025_SnakeBlessings_org.png"" /><img alt=""[金蛇送福]"" title=""[金蛇送福]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/14/2025_SnakeBlessings_org.png"" />",来自四川,5127130621673712,0,0,上美也是霸道上了[金蛇送福][金蛇送福][金蛇送福],7773985224,唐太宗爱吃甜甜圈,https://weibo.com/u/7773985224,潮平两岸阔,四川 广安,f,15,142,387,179,4,235,418
6,5127112745293063,7191744979,2025-01-26 17:25:56,好·老板,来自江苏,5127117604126991,0,1,好·老板,2149836174,一切安静做事,https://weibo.com/u/2149836174,坚持做幕后工作～,江苏 连云港,m,486,5111,124333,756,"1,669","2,574","4,999"
7,5127112745293063,7191744979,2025-01-27 11:34:52,"又美又飒的女老板<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自广东,5127391641341829,0,1,又美又飒的女老板[good],7796992434,山月不知灬心底事儿,https://weibo.com/u/7796992434,看到你的那一天，我就知道，又到了换手机壁纸的时候了,广东,f,63,531,18441,21,14,176,211
8,5127112745293063,7191744979,2025-01-27 13:09:15,谁能拒绝这样的老板！,来自贵州,5127415392635578,0,0,谁能拒绝这样的老板！,6112213984,一百种热爱Rio,https://weibo.com/u/6112213984,月亮越来越圆 好事也会越来越近啊,重庆 渝北区,f,30,40,7120,86,2,55,143
9,5127112745293063,7191744979,2025-01-26 23:57:54,"这样的老板在哪<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" />",来自江西,5127216245510657,0,0,这样的老板在哪[跪了],2326449452,·云霭暮山·,https://weibo.com/u/2326449452,参观时间：8:00-22:00,福建 泉州,f,153,490,8190,60,42,48,150
10,5127112745293063,7191744979,2025-01-26 21:13:19,霸道女裁来了，有点意思,来自天津,5127174826757992,0,0,霸道女裁来了，有点意思,7304177677,小狗也会不开心辣,https://weibo.com/u/7304177677,那是属于你的独特,其他,f,220,246,1128,,,,
11,5127112745293063,7191744979,2025-01-26 21:03:20,"够美 够霸道<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" /><img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自湖南,5127172316725955,0,0,够美 够霸道[doge][doge],7365740940,甜味柚子蜂蜜茶,https://weibo.com/u/7365740940,是沉默不语不会表达，是芸芸众生的普通人,其他,f,1287,1695,40888,485,"10,392","1,874","12,751"
12,5127112745293063,7191744979,2025-01-26 21:00:24,"这样的霸道老板我也想要，我想说很多打工人都很羡慕的<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自河北,5127171574862819,0,0,这样的霸道老板我也想要，我想说很多打工人都很羡慕的[允悲],5327439798,茶心雅韵,https://weibo.com/u/5327439798,喜欢看电视，网购物，美食,其他,f,133,502,5554,163,247,242,652
