,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户认证信息,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5155301919035229,7682764645,2025-04-14 15:23:11,周一好啊,来自北京,5155352963979785,2,0,周一好啊,6498210289,_silencePeople_,https://weibo.com/u/6498210289,沉默是金,北京,m,76,410,3,,,,,
1,5155301919035229,7682764645,2025-04-18 09:48:19,光是遇见，就已经很美好了🌻,来自四川,5156718243220980,0,1,光是遇见，就已经很美好了🌻,7852311749,聆听月神祷告,https://weibo.com/u/7852311749,,其他,f,14182,18,1242,超话粉丝大咖（丁禹兮超话） 超话粉丝大咖（陈奕恒超话）,"10,777","799,247","2,585","812,609"
2,5155301919035229,7682764645,2025-04-16 22:14:04,这个棒,来自山西,5156181141623456,0,0,这个棒,5997453995,无味910,https://weibo.com/u/5997453995,,河北 保定,m,71,138,14,,2,0,50,52
3,5155301919035229,7682764645,2025-04-15 07:08:05,"<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",来自广西,5155590754272482,1,0,[心][心],7495703284,肥皂15569,https://weibo.com/u/7495703284,,其他,m,185,175,3454,,7,2,25,34
4,5155301919035229,7682764645,2025-04-14 23:36:36,"衣服颜色搭配完美<img alt=""[赞]"" title=""[赞]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e6/2018new_zan_org.png"" />",来自辽宁,5155477140013740,0,0,衣服颜色搭配完美[赞],3184231782,Miss飘逸,https://weibo.com/u/3184231782,巨蟹座,辽宁 大连,f,246,202,268,,136,9,92,237
5,5155301919035229,7682764645,2025-04-14 18:05:03,"<img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" />怎么能这么美",来自河南,5155393698793015,1,0,[鲜花][鲜花][鲜花]怎么能这么美,5793523750,钢铁侠LG,https://weibo.com/u/5793523750,,其他,m,120,97,53,,5,0,48,53
6,5155301919035229,7682764645,2025-04-14 15:54:42,"<img alt=""[憧憬]"" title=""[憧憬]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c9/2018new_chongjing_org.png"" /><img alt=""[憧憬]"" title=""[憧憬]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/c9/2018new_chongjing_org.png"" />",来自江西,5155360899596561,0,0,[憧憬][憧憬],6411687190,虎贲兔,https://weibo.com/u/6411687190,简单一人,江西 南昌,m,135,1280,160,,,,,
7,5155301919035229,7682764645,2025-04-14 14:47:16,"每天都穿丝<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />你真的懂大家的喜好",来自四川,5155343923418835,0,0,每天都穿丝[doge]你真的懂大家的喜好,6263126463,执梓童行,https://weibo.com/u/6263126463,,其他,m,133,307,3,,0,0,15,15
8,5155301919035229,7682764645,2025-04-14 13:24:48,"<img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" /><img alt=""[鲜花]"" title=""[鲜花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d4/2018new_xianhua_org.png"" />",来自湖北,5155323171310040,0,0,[鲜花][鲜花][鲜花],6509993680,浪漫生活_,https://weibo.com/u/6509993680,爱生活爱自己,其他,m,599,1664,5,,0,0,1,1
9,5155301919035229,7682764645,2025-04-14 12:41:22,"<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />想吃",来自河北,5155312240430494,0,0,[二哈]想吃,5730263431,猪猪来也,https://weibo.com/u/5730263431,微博的尽头是卖东西，卖门槛。,河北,m,338,569,0,,0,0,0,0
10,5155301919035229,7682764645,2025-04-14 12:21:21,Nice,来自河南,5155307202548081,0,0,Nice,2669220781,阿狸郎1988,https://weibo.com/u/2669220781,,河南 许昌,m,2452,285,2564,,,,,
11,5155301919035229,7682764645,2025-04-14 12:17:25,天天穿这么性感，有人说闲话嘛,来自江苏,5155306212954356,0,0,天天穿这么性感，有人说闲话嘛,1994903331,李敏德AXL,https://weibo.com/u/1994903331,,江苏 镇江,m,83,1301,371,,26,28,16,70
12,5155301919035229,7682764645,2025-04-14 12:17:03,好美,来自湖南,5155306125132395,0,0,好美,1774806790,丝滑拿铁SH,https://weibo.com/u/1774806790,,湖南 长沙,m,1058,4944,15676,,,,,
13,5155301919035229,7682764645,2025-04-14 12:04:32,"<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" /><img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" /><img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自天津,5155302975472309,0,0,[爱你][爱你][爱你],1256047255,卞永才,https://weibo.com/u/1256047255,卞永才,天津,m,661,96,990,,,,,
