,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5155997233187661,1695259964,2025-04-16 14:53:49,从身边统计学来看高考男生更突出，初中以前女生比男生强，高中后男生更强一点,来自江苏,5156070348819994,4,0,从身边统计学来看高考男生更突出，初中以前女生比男生强，高中后男生更强一点,5312181457,Catherine1282,https://weibo.com/u/5312181457,,江苏 苏州,f,51,166,0,0,0,0,0,
1,5155997233187661,1695259964,2025-04-16 10:18:11,"澳洲略微不同的是，精英中学（小升初，考重点中学）的录取比例上，男生明显高于女生，以至于教育部计划要调整不同学科的分值比重，英文权重要高于数学，让男女比例回到正常。但高考成绩和美国一样，女生明显占优。原因可能还有一点，我觉得小升初主要看家长推不推，有些家庭孩子多，没有那么多财力和精 ...<span class=""expand"">全文</span>",来自澳大利亚,5156000986825512,5,5,澳洲略微不同的是，精英中学（小升初，考重点中学）的录取比例上，男生明显高于女生，以至于教育部计划要调整不同学科的分值比重，英文权重要高于数学，让男女比例回到正常。但高考成绩和美国一样，女生明显占优。原因可能还有一点，我觉得小升初主要看家长推不推，有些家庭孩子多，没有那么多财力和精,1779758367,ccDaily,https://weibo.com/u/1779758367,落入凡间的普通人,海外 澳大利亚,f,133331,368,4628,"92,567","18,165","99,457","210,189",母婴育儿博主
2,5155997233187661,1695259964,2025-04-16 23:08:43,trevor noah 最近的一期博客采访了scott galloway很有意思 标题是 the problem with men 沛沛有空可以听听！,来自美国,5156194894219252,2,3,trevor noah 最近的一期博客采访了scott galloway很有意思 标题是 the problem with men 沛沛有空可以听听！,1739444672,一只特大象,https://weibo.com/u/1739444672,时光即答案。,海外 美国,f,748,379,2111,"7,884",425,"1,551","9,860",
3,5155997233187661,1695259964,2025-04-16 16:19:40,少搞异性恋男子汉那套，成绩就上去了。,来自江苏,5156091952369542,0,9,少搞异性恋男子汉那套，成绩就上去了。,7485629033,阿本加聂,https://weibo.com/u/7485629033,这里是老轴骂老中的网络基地,北京,m,113,612,5907,446,"6,878","1,638","8,962",
4,5155997233187661,1695259964,2025-04-16 10:14:24,"一边是国内还在说到高中女生学不过男生，另一边是从一开始男生就开始学业落后，所以社会环境对人的影响真大。但就算男性在学业上落后也不妨碍他们占据大部分重要岗位<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自美国,5156000031312331,2,60,一边是国内还在说到高中女生学不过男生，另一边是从一开始男生就开始学业落后，所以社会环境对人的影响真大。但就算男性在学业上落后也不妨碍他们占据大部分重要岗位[二哈],6215511776,榴莲小娘鱼小号,https://weibo.com/u/6215511776,,北京,m,512,591,4758,"3,130","5,303","2,982","11,415",
5,5155997233187661,1695259964,2025-04-16 17:00:58,以前国内有一种说法，小学女生成绩好，到了初中高中女生就追不上男生了，也不知道是啥理论……,来自上海,5156102345852876,2,2,以前国内有一种说法，小学女生成绩好，到了初中高中女生就追不上男生了，也不知道是啥理论……,7837653558,用户7837653558,https://weibo.com/u/7837653558,,其他,f,1,82,1,0,0,0,0,
6,5155997233187661,1695259964,2025-04-16 15:18:23,在以前，这个叙述是女孩子小学成绩好（一个班前十名一个男孩），但后劲不足，男孩后劲足。结果高中一个班前十名两个女孩。。。,来自甘肃,5156076530698049,0,1,在以前，这个叙述是女孩子小学成绩好（一个班前十名一个男孩），但后劲不足，男孩后劲足。结果高中一个班前十名两个女孩。。。,2087687391,糊锅大王,https://weibo.com/u/2087687391,,北京 朝阳区,f,93,124,647,260,117,15,392,
7,5155997233187661,1695259964,2025-04-16 10:19:33,如果亚裔男性的学业在亚洲社会也落后女性的话，模范少数族裔的解释可能就不适用了,来自美国,5156001327089968,0,3,如果亚裔男性的学业在亚洲社会也落后女性的话，模范少数族裔的解释可能就不适用了,1972875605,HeadAboveWaterrrr,https://weibo.com/u/1972875605,You cannot get away from yourself by moving from one place to another.,海外 美国,f,11,141,397,14,16,65,95,
8,5155997233187661,1695259964,2025-04-16 10:12:18,对，我同事早就说了考试制度利于女生,来自江苏,5155999502304849,0,1,对，我同事早就说了考试制度利于女生,6759115319,用户6759115319,https://weibo.com/u/6759115319,,其他,f,71,684,110,20,4,41,65,
9,5155997233187661,1695259964,2025-04-16 23:58:46,感觉在美国男生被called nerdy是不是隐约有点贬义的意思？,来自广东,5156207489188702,0,0,感觉在美国男生被called nerdy是不是隐约有点贬义的意思？,3178548963,咩了个咩__,https://weibo.com/u/3178548963,미친 녀.,广东 广州,f,236,522,10480,"2,734",198,753,"3,685",
