,main_body_mid,main_body_uid,发布时间,处理内容,mid,回复数量,点赞数量,原生内容,评论地点,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5154823403208745,1751376711,2025-04-13 22:56:09,"最新【<a href=""//s.weibo.com/weibo?q=%23%E5%AE%9E%E9%AA%8C%E5%AE%A4%E7%AE%80%E5%8D%95%E9%80%81%23"" target=""_blank"">#实验室简单送#</a>】来送出这本书。关注 + 转发，5 天后我们会用<a href=/n/微博抽奖平台 usercard=""name=@微博抽奖平台"">@微博抽奖平台</a> 抽出 10 位同学，<a href=/n/机械工业出版社 usercard=""name=@机械工业出版社"">@机械工业出版社</a> 将为大家包邮送出赠书。阅读愉快！",5155104572309933,0,0,最新【#实验室简单送#】来送出这本书。关注 + 转发，5 天后我们会用@微博抽奖平台 抽出 10 位同学，@机械工业出版社 将为大家包邮送出赠书。阅读愉快！,,1751376711,理想生活实验室,https://weibo.com/u/1751376711,理想生活实验室 www.toodaylab.com 官方微博,一家传播更理想生活方式的媒体。加入我们请邮件到 hr@toodaylab.com,四川,f,1442765,871,52619,"681,235","1,407,509","250,562","2,339,306"
1,5154823403208745,1751376711,2025-04-14 08:59:07,"<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" />说不",5155256310171199,0,1,[抱一抱]说不,来自湖北,3996892714,Benz是个好孩子,https://weibo.com/u/3996892714,,希望越来越好吧，通过自己的努力。,香港 其他,m,189,170,4383,729,174,"9,541","10,444"
2,5154823403208745,1751376711,2025-04-17 01:50:17,来了,5156235558256871,0,0,来了,来自福建,2261660555,火会飞的鸡,https://weibo.com/u/2261660555,,親親妳😚,西藏 日喀则,f,897,567,7340,"10,865",384,"14,588","25,837"
3,5154823403208745,1751376711,2025-04-17 00:45:24,"<a href=/n/火会飞的鸡 usercard=""name=@火会飞的鸡"">@火会飞的鸡</a> ",5156219224853098,0,0,@火会飞的鸡 ,来自浙江,1762610752,大海邊_小漁村fisherman,https://weibo.com/u/1762610752,,「自笑平生為口忙…」,其他,m,2100,8328,216984,"7,574","9,420","2,709","19,703"
4,5154823403208745,1751376711,2025-04-13 23:13:16,"<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" /><a href=""//s.weibo.com/weibo?q=%23%E6%AF%8F%E5%91%A8%E4%B8%80%E4%B9%A6%23"" target=""_blank"">#每周一书#</a> ",5155108876457686,0,1,[爱你]#每周一书# ,来自山东,1881975443,朔城的倔强人生,https://weibo.com/u/1881975443,,可爱的人，总会相遇。 人生无限公司小职员/摄影小学徒。,山东 济南,m,681,1573,4073,"1,572",320,"2,958","4,850"
5,5154823403208745,1751376711,2025-04-17 06:46:33,！！！这本书真的很想看,5156310112010828,0,0,！！！这本书真的很想看,来自广东,1731441435,苏很圆,https://weibo.com/u/1731441435,,胆小怕事,广东 汕头,m,710,2140,13243,"14,489","2,139",763,"17,391"
6,5154823403208745,1751376711,2025-04-17 06:39:07,"一个人的勇气远远不够<img alt=""[拳头]"" title=""[拳头]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/86/2018new_quantou_org.png"" /><img alt=""[拳头]"" title=""[拳头]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/86/2018new_quantou_org.png"" />",5156308241876752,0,0,一个人的勇气远远不够[拳头][拳头],来自河北,3721735704,支陌X,https://weibo.com/u/3721735704,,,其他,f,98,678,969,"1,384",70,"1,141","2,595"
7,5154823403208745,1751376711,2025-04-16 08:39:58,"<img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" /><img alt=""[心]"" title=""[心]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_xin_org.png"" />",5155976266910346,0,0,[心][心][心][心],来自湖北,7947203476,郑钦文的锦鲤,https://weibo.com/u/7947203476,,爱体育爱车生活,北京,f,28,249,1235,16,1,83,100
8,5154823403208745,1751376711,2025-04-15 22:18:13,对厌女的社会分工说不,5155819802329822,0,0,对厌女的社会分工说不,来自北京,1549471411,大王小千,https://weibo.com/u/1549471411,,得到的都是侥幸，失去的都是人生🎈,其他,f,511,572,422,650,63,501,"1,214"
9,5154823403208745,1751376711,2025-04-15 08:25:55,"<a href=""//s.weibo.com/weibo?q=%23%E6%AF%8F%E5%91%A8%E4%B8%80%E4%B9%A6%23"" target=""_blank"">#每周一书#</a> <img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",5155610346914073,0,1,#每周一书# [打call],来自江苏,1645780834,陈氏幽默2020,https://weibo.com/u/1645780834,,相爱容易 因为五官 相处不易 因为三观,江苏 泰州,m,356,4955,13237,233,83,442,758
