,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5156407852141048,7730707672,2025-04-17 20:56:56,前年还是去年4.7的冷水江煤矿，9个矿工4个大姨，看不见的地方看得见的地方女人一直没缺席,来自贵州,5156524118249734,0,347,前年还是去年4.7的冷水江煤矿，9个矿工4个大姨，看不见的地方看得见的地方女人一直没缺席,7656165496,迷路的失格比,https://weibo.com/u/7656165496,妖人。,江西,m,62,409,640,0,7,40,47,nan
1,5156407852141048,7730707672,2025-04-18 00:03:39,建议了解一下这些工人的后续，新中国刚成立时喊出的口号是妇女能顶半边天，于是出现了三八女子采油队，这些由女性组成的工人队伍面对我们几乎没办法相信的高强度劳动时丝毫没有退缩，工作完成得也丝毫不打折扣。但是后续跟进，这些女工人的身体通通都出现了不可逆的疾病，,来自山东,5156571106251371,2,45,建议了解一下这些工人的后续，新中国刚成立时喊出的口号是妇女能顶半边天，于是出现了三八女子采油队，这些由女性组成的工人队伍面对我们几乎没办法相信的高强度劳动时丝毫没有退缩，工作完成得也丝毫不打折扣。但是后续跟进，这些女工人的身体通通都出现了不可逆的疾病，,7986175379,流浪宝贝收集所,https://weibo.com/u/7986175379,,山东 烟台,m,13,19,13,7,0,0,7,nan
2,5156407852141048,7730707672,2025-04-17 13:17:25,"现在女生想从事下矿井以及采石油的工作都没办法，因为这些基本都限男性<img alt=""[跪了]"" title=""[跪了]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/75/2018new_gui_org.png"" />",来自宁夏,5156408476569710,49,2549,现在女生想从事下矿井以及采石油的工作都没办法，因为这些基本都限男性[跪了],6346588649,少跟姥子装,https://weibo.com/u/6346588649,精♂和顺直私绝，拉黑的更是私个泉佳,其他,f,984,52,110,286,3,386,675,nan
3,5156407852141048,7730707672,2025-04-17 15:46:22,"之前看过这段发展史，最早矿井通道窄小，只能女人孩子通过，所以是女的下矿。后来发现赚钱，男的也加入其中，男女同工，但是工作期间在狭窄矿洞，男性工人时常猥亵侵犯女性工人，大量女性工人身体精神受到双重折磨，多次投诉也无法解决，后续只能禁止女性下矿<img alt=""[裂开]"" title=""[裂开]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/1b/202011_liekai_org.png"" />。",来自四川,5156445960277211,26,2311,之前看过这段发展史，最早矿井通道窄小，只能女人孩子通过，所以是女的下矿。后来发现赚钱，男的也加入其中，男女同工，但是工作期间在狭窄矿洞，男性工人时常猥亵侵犯女性工人，大量女性工人身体精神受到双重折磨，多次投诉也无法解决，后续只能禁止女性下矿[裂开]。,2731395471,-青蓋-,https://weibo.com/u/2731395471,爱而知其恶，憎而知其善。,四川,f,9,82,7590,652,265,"3,020","3,937",nan
4,5156407852141048,7730707672,2025-04-17 18:34:44,"我朋友是工科女生，一个学电汽，另一个学车辆还有一个是学自动化的，一线根本不要她们，学电汽的连爬电线杆的机会都没有<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />学自动化的投了某制造业外企，本科学历进不去研发部门，一线也是只要男的，不要女工程师，学车辆的去了学长开得洗车店里当前台了<img alt=""[可爱]"" title=""[可爱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/09/2018new_keai_org.png"" />女的学工科出路只有提高学历进研发部",来自江苏,5156488335851827,11,475,我朋友是工科女生，一个学电汽，另一个学车辆还有一个是学自动化的，一线根本不要她们，学电汽的连爬电线杆的机会都没有[允悲]学自动化的投了某制造业外企，本科学历进不去研发部门，一线也是只要男的，不要女工程师，学车辆的去了学长开得洗车店里当前台了[可爱]女的学工科出路只有提高学历进研发部,5872856402,无骨不生花,https://weibo.com/u/5872856402,新建文件夹,河南 郑州,f,2,31,12,1,0,65,66,nan
5,5156407852141048,7730707672,2025-04-17 17:33:36,"ndsl<img alt=""[爱你]"" title=""[爱你]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_aini_org.png"" />",来自北京,5156472946690441,21,162,ndsl[爱你],7114178715,ChloeRings,https://weibo.com/u/7114178715,meow不是战队而是生活态度,其他,f,20,403,504,382,3,"2,564","2,949",nan
6,5156407852141048,7730707672,2025-04-17 19:17:57,"我公司是有色金属矿，天知道我多想下井，工资是我们文职的三倍。然而有些部门下井并不需要干活，可能只是安全检查之类的，也能领一份井下津贴。只有我们不能领<img alt=""[微笑]"" title=""[微笑]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/e3/2018new_weixioa02_org.png"" />",来自辽宁,5156499206706926,3,225,我公司是有色金属矿，天知道我多想下井，工资是我们文职的三倍。然而有些部门下井并不需要干活，可能只是安全检查之类的，也能领一份井下津贴。只有我们不能领[微笑],7545194833,饼干大魔王2022,https://weibo.com/u/7545194833,,辽宁,f,19,148,111,88,47,152,287,nan
7,5156407852141048,7730707672,2025-04-17 17:42:48,"有公司招人发通知到我们班群，说是优点考虑男生因为这个工作需要经常出差，我请问女生哪一点不适合出差吗<img alt=""[疑问]"" title=""[疑问]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/b8/2018new_ningwen_org.png"" />",来自广东,5156475262209503,30,136,有公司招人发通知到我们班群，说是优点考虑男生因为这个工作需要经常出差，我请问女生哪一点不适合出差吗[疑问],6627228445,开心果栗x,https://weibo.com/u/6627228445,镇魂｜张艺兴和六娃我要追随你们一辈子🥰,其他,f,53,711,2254,"1,114",36,"1,568","2,718",nan
8,5156407852141048,7730707672,2025-04-17 16:10:14,苏联并不性别平等，相反社会主义的高道德需求要求宣传伟大的母亲。苏联的女性打破了一楼的天花板，却还要擦二楼的地板，这真的是平等吗,来自日本,5156451967043094,9,132,苏联并不性别平等，相反社会主义的高道德需求要求宣传伟大的母亲。苏联的女性打破了一楼的天花板，却还要擦二楼的地板，这真的是平等吗,7332634358,無罪推定WARNing,https://weibo.com/u/7332634358,生理性别为女性。asexual agender aro。 以无性别的视角研究性别法学，但性别的言说永远与我有关。,其他,f,14,116,81,4,9,55,68,nan
9,5156407852141048,7730707672,2025-04-17 22:40:16,那天看见一个阿姨开大卡车，我心想，还有啥事女的不能干的？,来自江西,5156550122145569,6,99,那天看见一个阿姨开大卡车，我心想，还有啥事女的不能干的？,3768503182,路漫漫PM,https://weibo.com/u/3768503182,树洞,上海,f,145,137,735,75,9,110,194,nan
