,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5156551108854008,5520412283,2025-04-18 00:55:28,一如既往温说得对,来自广东,5156584146864526,0,2,一如既往温说得对,5655326031,誰偷走了我的睡眠,https://weibo.com/u/5655326031,娱乐博主 超话创作官（周也超话）,夜里我已经数了好多只羊了:(,其他,f,10969,381,9903,"63,775","1,912","52,894","118,581"
1,5156551108854008,5520412283,2025-04-17 22:49:58,"天哪也太会描述了<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自湖南,5156552564284260,0,2,天哪也太会描述了[苦涩][苦涩],5953824160,wsl把悲伤写成协奏曲,https://weibo.com/u/5953824160,超话粉丝钻咖（薛之谦超话）,“你听不到我的声音 怕脱口而出是你姓名” 🤍 E.   ——💚流星也为你落下来了🌠      🔋100%  100000 VOLTS 💖 👑📚🐉,湖南,m,906,643,8630,"9,717",292,"12,380","22,389"
2,5156551108854008,5520412283,2025-04-18 04:20:16,"<a href=/n/老了就喝老白金 usercard=""name=@老了就喝老白金"">@老了就喝老白金</a> 她写的好好<img alt=""[送花花]"" title=""[送花花]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/cb/2022_Flowers_org.png"" />",来自江苏,5156635685421281,0,0,@老了就喝老白金 她写的好好[送花花],6445273266,鬼鬼女士,https://weibo.com/u/6445273266,,小小树洞,湖北,f,67,29,126,72,0,93,165
3,5156551108854008,5520412283,2025-04-18 09:23:25,不能再认同了 我之前就处于这样的情况中 一直活在对方所喜欢的那个“模子里”  每当我有问题想要沟通时 对方就开始觉得我无理取闹觉得我作 实在是太会诡辩了 每次吵架到最后全都变成了我的问题 是我想太多太不体谅对付 我甚至很长一段时间陷入深深的自我怀疑中 但正常的一段感情不应该是这样的,来自湖南,5156711976143214,0,0,不能再认同了 我之前就处于这样的情况中 一直活在对方所喜欢的那个“模子里”  每当我有问题想要沟通时 对方就开始觉得我无理取闹觉得我作 实在是太会诡辩了 每次吵架到最后全都变成了我的问题 是我想太多太不体谅对付 我甚至很长一段时间陷入深深的自我怀疑中 但正常的一段感情不应该是这样的,3976310143,未未未畏,https://weibo.com/u/3976310143,,不被定义,江西 上饶,f,212,355,3115,866,799,584,"2,249"
4,5156551108854008,5520412283,2025-04-18 08:16:58,"<a href=/n/四个小猫 usercard=""name=@四个小猫"">@四个小猫</a>",来自浙江,5156695254238463,0,0,@四个小猫,6094173704,hbsakkngkrrkjwjskwkalvxe,https://weibo.com/u/6094173704,,一个话很多的人类,海外,f,28,277,3510,"3,158",28,"1,637","4,823"
5,5156551108854008,5520412283,2025-04-18 07:19:39,温温写的很多点都一针见血，确实如此,来自福建,5156680829240522,0,0,温温写的很多点都一针见血，确实如此,5870267572,ADoRamem,https://weibo.com/u/5870267572,,,福建,f,93,182,20,9,0,62,71
6,5156551108854008,5520412283,2025-04-18 00:56:56,"写的太好了！！越来越喜欢你了，觉得你的文字有力量，表达的很清晰，是我想成为的这个部分。我们要独立，要变强，不要那么快将自己归类<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自广东,5156584519631130,0,0,写的太好了！！越来越喜欢你了，觉得你的文字有力量，表达的很清晰，是我想成为的这个部分。我们要独立，要变强，不要那么快将自己归类[打call],1845828982,我永远爱自己beyourself,https://weibo.com/u/1845828982,,永远相信美好的事情即将发生,广东 广州,f,62,256,565,59,3,56,118
7,5156551108854008,5520412283,2025-04-17 23:59:45,现在还能看到你的公众号吗,来自浙江,5156570124522917,0,0,现在还能看到你的公众号吗,7724215044,落日追踪vv,https://weibo.com/u/7724215044,,镇魂,浙江 杭州,f,1,64,326,280,0,135,415
8,5156551108854008,5520412283,2025-04-17 23:34:31,"有一天再店里，看到一个母亲着急忙慌的来卖六个鸡肉卷，3个红豆派。我问吃的完吗？她说大女儿刚点上，被我训了一顿。就给退了，我看她心情不好就想着下来给她买这带上去哄哄她。女儿读高三，丈夫又没有工作，一家四口就我一个上班干活的。我看她手上有伤就问她是怎么回事，她说是做饭磕到的。<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自山东,5156563775393601,0,0,有一天再店里，看到一个母亲着急忙慌的来卖六个鸡肉卷，3个红豆派。我问吃的完吗？她说大女儿刚点上，被我训了一顿。就给退了，我看她心情不好就想着下来给她买这带上去哄哄她。女儿读高三，丈夫又没有工作，一家四口就我一个上班干活的。我看她手上有伤就问她是怎么回事，她说是做饭磕到的。[泪],6613041827,Starsky2008,https://weibo.com/u/6613041827,,,其他,f,14,121,75,99,1,135,235
9,5156551108854008,5520412283,2025-04-17 23:29:31,"说的好好<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自浙江,5156562517365323,0,0,说的好好[泪],7885986687,乐一个呵呵呵,https://weibo.com/u/7885986687,,我没有东西问你  我相信自己能够在将来找到答案,浙江 台州,f,7,72,152,78,0,201,279
10,5156551108854008,5520412283,2025-04-17 23:27:43,写的真好！很喜欢你的文字！写得对！慎思，明辨,来自江苏,5156562063855824,0,0,写的真好！很喜欢你的文字！写得对！慎思，明辨,6870217948,清晨de粥,https://weibo.com/u/6870217948,,"If you want something you never had, you have to do something you never done. Focus only on what really matters!",江苏,f,105,5888,36831,919,125,"1,148","2,192"
11,5156551108854008,5520412283,2025-04-17 23:21:47,"写得好好<img alt=""[开学季]"" title=""[开学季]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/72/2021_kaixueji_org.png"" />",来自浙江,5156560574611919,0,0,写得好好[开学季],6583084351,和小熊交换软糖的h,https://weibo.com/u/6583084351,,,其他,f,45,401,140,52,0,59,111
12,5156551108854008,5520412283,2025-04-17 22:55:51,怎么这么会写！,来自河南,5156554048275069,0,0,怎么这么会写！,3104471461,想要变瘦瘦的肉肉啊,https://weibo.com/u/3104471461,,✌🏻,河南 郑州,f,146,282,358,"1,061",2,574,"1,637"
13,5156551108854008,5520412283,2025-04-17 22:49:57,"温温你写的好有力量<img alt=""[好喜欢]"" title=""[好喜欢]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/d6/lxhlike_thumb.gif"" />真的一下子戳中了自己的内心想法<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />好喜欢好喜欢<img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" /><img alt=""[苦涩]"" title=""[苦涩]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/7e/2021_bitter_org.png"" />",来自山西,5156552558774092,0,0,温温你写的好有力量[好喜欢]真的一下子戳中了自己的内心想法[苦涩][苦涩][苦涩]好喜欢好喜欢[苦涩][苦涩][苦涩],5944116692,汪小米版,https://weibo.com/u/5944116692,,变色龙人格,山东 济南,f,152,396,650,670,7,973,"1,650"
14,5156551108854008,5520412283,2025-04-17 22:47:27,"真的很喜欢温温的文字<img alt=""[泪]"" title=""[泪]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/6e/2018new_leimu_org.png"" />",来自湖南,5156551930418782,0,0,真的很喜欢温温的文字[泪],5521174068,QQQQQ_琪,https://weibo.com/u/5521174068,,,湖南,f,72,156,3,1,0,2,3
