,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞,用户认证信息
0,5151017944744780,7923586268,2025-04-02 16:20:05,确实，没必要学资本主义那腐朽的AA制，就要国服特供的🐢。,来自陕西,5151018628155442,2,38,确实，没必要学资本主义那腐朽的AA制，就要国服特供的🐢。,6124679346,卐玄,https://weibo.com/u/6124679346,,陕西 宝鸡,m,76,179,3387,301,89,"1,748","2,138",nan
1,5151017944744780,7923586268,2025-04-02 16:17:50,轮流请客,来自重庆,5151018062448803,1,15,轮流请客,6502303108,我的暗杀名单上全是队友的名字,https://weibo.com/u/6502303108,,其他,m,6,73,275,1,0,0,1,nan
2,5151017944744780,7923586268,2025-04-02 16:46:45,前期主动花点钱是愿意的目的是培养感情，但要是张口要钱或者没钱不谈那趁早爪巴,来自重庆,5151025337992903,1,6,前期主动花点钱是愿意的目的是培养感情，但要是张口要钱或者没钱不谈那趁早爪巴,1291436692,sNova搬运社,https://weibo.com/u/1291436692,原创不多，分享个人兴趣的搬运小站,北京 海淀区,m,117,206,1657,469,251,80,800,nan
3,5151017944744780,7923586268,2025-04-02 16:29:48,"没谈过，但是应该aa，谁的钱都不是大风刮来的<img alt=""[怒]"" title=""[怒]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/f6/2018new_nu_org.png"" />",来自安徽,5151021077889088,1,9,没谈过，但是应该aa，谁的钱都不是大风刮来的[怒],6981669670,唐唐唐小菲,https://weibo.com/u/6981669670,,其他,m,14,59,0,0,0,0,0,nan
4,5151017944744780,7923586268,2025-04-02 16:41:06,"其实应该AA，谈恋爱是双方的事，但我们这风气就是男的要大方<img alt=""[二哈]"" title=""[二哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/22/2018new_erha_org.png"" />",来自福建,5151023917172577,1,1,其实应该AA，谈恋爱是双方的事，但我们这风气就是男的要大方[二哈],2283636040,零崎已死,https://weibo.com/u/2283636040,宅男！,福建 宁德,m,188,121,2303,299,152,49,500,nan
5,5151017944744780,7923586268,2025-04-02 16:41:30,求同存异，看个人意愿，反正不能一个无条件付出 一个无条件接受,来自湖北,5151024022815488,0,2,求同存异，看个人意愿，反正不能一个无条件付出 一个无条件接受,7373706814,四海来犬,https://weibo.com/u/7373706814,未开张玩具店的小小服务员,湖北,m,461,45,766,"1,028",20,"1,531","2,579",nan
6,5151017944744780,7923586268,2025-04-02 16:47:56,"男女平等，为什么不让女生付账，你是不是歧视女生的钱？<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自河南,5151025636052441,0,4,男女平等，为什么不让女生付账，你是不是歧视女生的钱？[doge],5193285720,蓝色命运二号机,https://weibo.com/u/5193285720,,上海,m,215,1809,1236,2,9,210,221,nan
7,5151017944744780,7923586268,2025-04-02 17:44:08,"国内的婚恋市场都畸形什么样了，都是商品明码标价<img alt=""[doge]"" title=""[doge]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/a1/2018new_doge02_org.png"" />",来自四川,5151039779244705,0,2,国内的婚恋市场都畸形什么样了，都是商品明码标价[doge],7068746410,艾斯特露,https://weibo.com/u/7068746410,,其他,m,134,3204,2724,11,4,189,204,nan
8,5151017944744780,7923586268,2025-04-02 18:18:59,谁请以后谁管钱,来自北京,5151048549795429,0,1,谁请以后谁管钱,1294090634,守望风的小丘,https://weibo.com/u/1294090634,风见丘。耳塞：um mentor v3。前端：sp2k,北京 东城区,m,435,675,8159,"2,771","4,389","1,000","8,160",nan
9,5151017944744780,7923586268,2025-04-03 15:32:56,交往的话，想A的约会前就说清楚，不能既要面子又要里子，但我跟我朋友一般都是你一顿我一顿，多点少点穷不了我也富不了人家，除了同事目前没遇见过A的。,来自江苏,5151369154265270,0,0,交往的话，想A的约会前就说清楚，不能既要面子又要里子，但我跟我朋友一般都是你一顿我一顿，多点少点穷不了我也富不了人家，除了同事目前没遇见过A的。,7556089760,Acruxxxx,https://weibo.com/u/7556089760,欲将轻骑逐，大雪满弓刀。,其他,m,31,202,313,119,3,300,422,nan
10,5151017944744780,7923586268,2025-04-03 15:07:11,"捞女发现没法捞，一下就现出原形给你拉黑了<img alt=""[笑哈哈]"" title=""[笑哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/32/lxhwahaha_org.gif"" />",来自福建,5151362669087185,0,1,捞女发现没法捞，一下就现出原形给你拉黑了[笑哈哈],1620491231,九条玖琉璃,https://weibo.com/u/1620491231,,福建 龙岩,m,3,109,560,nan,nan,nan,nan,nan
11,5151017944744780,7923586268,2025-04-03 14:42:17,你说的是哪个AA？至少要C吧？,来自辽宁,5151356404107054,0,0,你说的是哪个AA？至少要C吧？,6321985950,孤樽对月霜影寒,https://weibo.com/u/6321985950,,其他,m,392,560,1373,169,"1,649",372,"2,190",nan
12,5151017944744780,7923586268,2025-04-03 12:00:22,还是要商量好，你不愿我不意，谈了成了也分，何必让自己痛苦,来自云南,5151315655918927,0,0,还是要商量好，你不愿我不意，谈了成了也分，何必让自己痛苦,6284288146,芙兰咲-FranSaKi,https://weibo.com/u/6284288146,愿世界归为沧海，愿你我归为初见。,云南,m,53,126,652,8,23,39,70,nan
13,5151017944744780,7923586268,2025-04-03 02:50:44,轮流,来自广东,5151177337209023,0,0,轮流,2165510442,风萧萧兮_88,https://weibo.com/u/2165510442,这个人很傻很笨,广东,m,857,383,11310,"1,502","4,510","3,699","9,711",nan
14,5151017944744780,7923586268,2025-04-03 02:49:27,我觉得谈恋爱之后我可能会选择AA？包括如果以后相亲也是，但如果对方觉得这样有点让人没面子、伤感情啥的话会和他沟通使之改变想法。当然如果轮流请客也可以，感觉你请一顿我请一顿是很可爱的做法了…,来自北京,5151177014248477,0,0,我觉得谈恋爱之后我可能会选择AA？包括如果以后相亲也是，但如果对方觉得这样有点让人没面子、伤感情啥的话会和他沟通使之改变想法。当然如果轮流请客也可以，感觉你请一顿我请一顿是很可爱的做法了…,5853632886,扭转乾坤妙手回春之专治抽象1v1,https://weibo.com/u/5853632886,磕cp的时候不论bl还是bg都只磕：1v1前提，受→→→←攻，天雷追妻火葬场；打游戏的时候是混乱邪恶主角左人，对主角攻主控开大院喜闻乐见。,其他,m,27,211,485,372,7,572,951,nan
15,5151017944744780,7923586268,2025-04-02 18:13:22,"我主张，AA的也有AA的好，请客的也请客的好。（讲了等于没讲）<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" /><img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自广东,5151047135790831,0,0,我主张，AA的也有AA的好，请客的也请客的好。（讲了等于没讲）[允悲][允悲],5859484917,锟锟锟锟锟丶LIN,https://weibo.com/u/5859484917,小时候真傻，竟然想着长大，大人真的很累。,广东 东莞,m,57,269,114,1,3,134,138,nan
16,5151017944744780,7923586268,2025-04-02 17:53:50,好办 女的请就行,来自陕西,5151042221116792,0,0,好办 女的请就行,2759539760,秋也陇不城,https://weibo.com/u/2759539760,,其他,m,492,1101,257,15,3,101,119,nan
17,5151017944744780,7923586268,2025-04-02 17:12:39,我可以请 但你也要主动提议AA,来自上海,5151031856730131,0,0,我可以请 但你也要主动提议AA,6997275646,吃饱大王,https://weibo.com/u/6997275646,不近女色,上海,m,86,969,170,6,6,29,41,nan
