,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5146375000686732,5724062537,2025-03-20 21:20:45,如果女生负担男生的机票呢,来自上海,5146383250623043,0,0,如果女生负担男生的机票呢,5724062537,雨落xy庭廊,https://weibo.com/u/5724062537,快乐女孩（？,海外 美国,f,2829,301,1020,"4,103",597,"18,177","22,877"
1,5146375000686732,5724062537,2025-03-20 20:54:41,我俩一般是机票我自己…其余他cover,来自广东,5146376690467774,1,2,我俩一般是机票我自己…其余他cover,7457076356,LQ废柴柴二代,https://weibo.com/u/7457076356,炸号重生传世3.0…佛系人生进行时,吉林,m,257,363,2215,"1,809",158,"4,001","5,968"
2,5146375000686732,5724062537,2025-03-20 21:34:11,我跟我男票一般会这样∶各自的车票是自己付（因为异地，自己买票），住宿游玩的钱他付，吃饭我付，然后如果是谁发年终奖了，就多请一点,来自上海,5146386632282378,0,0,我跟我男票一般会这样∶各自的车票是自己付（因为异地，自己买票），住宿游玩的钱他付，吃饭我付，然后如果是谁发年终奖了，就多请一点,3925945264,清盐z,https://weibo.com/u/3925945264,I know nothing,海外 法国,m,70,418,1796,939,86,808,"1,833"
3,5146375000686732,5724062537,2025-03-20 20:56:18,我认为蛮合理的,来自上海,5146377098364295,0,0,我认为蛮合理的,5088608595,阿真在冲浪,https://weibo.com/u/5088608595,五分钟一遇的美女,其他,f,3907,429,1676,"10,128","1,118","35,486","46,732"
4,5146375000686732,5724062537,2025-03-23 08:59:51,谁赚得多就多出一点呗,来自中国香港,5147283961152020,0,0,谁赚得多就多出一点呗,7616502605,小豪今天要锦鲤上身,https://weibo.com/u/7616502605,"Anchor my ship, sail around",广东,m,190,122,81,184,5,582,771
5,5146375000686732,5724062537,2025-03-21 13:40:06,🙋吃软饭第一名,来自上海,5146629716836355,0,0,🙋吃软饭第一名,2587533955,今朝有闲吗,https://weibo.com/u/2587533955,正义都能迟到，为什么上班不能,北京,m,172,166,830,922,96,"1,477","2,495"
6,5146375000686732,5724062537,2025-03-21 00:14:25,不会太会，感觉一方cover一方面比较自然。anyway平常怎么舒服怎么来就对了,来自黑龙江,5146426955268841,0,1,不会太会，感觉一方cover一方面比较自然。anyway平常怎么舒服怎么来就对了,6799421440,重启世界的小何,https://weibo.com/u/6799421440,做自己生活的superstar,四川,f,4,81,35,5,0,13,18
7,5146375000686732,5724062537,2025-03-20 21:18:04,挺合理的？,来自北京,5146382575600783,0,0,挺合理的？,2397047557,舟二可,https://weibo.com/u/2397047557,你们都找不到我,北京 朝阳区,m,584,532,2406,"2,489",232,"1,575","4,296"
8,5146375000686732,5724062537,2025-03-22 08:16:15,我一般是，来往对方的国家：一方自费机票＋一方cover 其他，第三国一起玩儿：自费机票＋花费4/6左右,来自英国,5146910600463137,0,0,我一般是，来往对方的国家：一方自费机票＋一方cover 其他，第三国一起玩儿：自费机票＋花费4/6左右,2804286095,Serious昵称不可用,https://weibo.com/u/2804286095,乱七八糟,山东 临沂,f,47,63,237,543,0,349,892
9,5146375000686732,5724062537,2025-03-20 22:24:17,感觉机票这种大头的钱还是aa比较合适，其余还是和往常一样就好,来自上海,5146399239570768,0,0,感觉机票这种大头的钱还是aa比较合适，其余还是和往常一样就好,6503904128,雨夜踩水小狗,https://weibo.com/u/6503904128,,上海,f,15,595,23,1,0,2,3
10,5146375000686732,5724062537,2025-03-20 20:56:28,"另一半负担我全部，我都拒绝了<img alt=""[允悲]"" title=""[允悲]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/83/2018new_kuxiao_org.png"" />",来自山东,5146377139523275,0,0,另一半负担我全部，我都拒绝了[允悲],1936432702,是十三幺嘛,https://weibo.com/u/1936432702,让让也无妨,北京 海淀区,f,484,546,891,"1,569",61,"1,791","3,421"
