,main_body_mid,main_body_uid,发布时间,处理内容,评论地点,mid,回复数量,点赞数量,原生内容,uid,用户昵称,用户主页,用户认证信息,用户描述,用户地理位置,用户性别,用户粉丝数量,用户关注数量,用户全部微博,用户累计评论,用户累计转发,用户累计获赞,用户转评赞
0,5138938303610982,7256084248,2025-02-28 10:00:51,要不是为了孩子，早离了,来自辽宁,5138964390872904,2,3,要不是为了孩子，早离了,6269100359,财研研呀,https://weibo.com/u/6269100359,山东大学,财金枝，这个号是我老婆，欢迎互粉,辽宁 大连,m,12891,20000,153,"4,395",19,"6,887","11,301"
1,5138938303610982,7256084248,2025-02-28 11:15:45,那个芳芳不地道,来自广西,5138983241388182,3,1,那个芳芳不地道,7945057434,财智贤,https://weibo.com/u/7945057434,美食博主,云淡风轻一轮江月明,其他,f,10256,5014,270,,,,
2,5138938303610982,7256084248,2025-02-28 13:23:32,"终于扔掉了那双不合脚的鞋子。<img alt=""[good]"" title=""[good]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8a/2018new_good_org.png"" />",来自中国台湾,5139015397803611,1,2,终于扔掉了那双不合脚的鞋子。[good],6379788825,SR蔡蔡,https://weibo.com/u/6379788825,情感博主,蔡蔡忘忧草、爱耍可爱、吹嘘正能量、爱看美景、  浪漫真挚、一个能力很小欲望很大的疗愈梦想家。,台湾,f,2332,1601,3052,"40,662",532,"85,111","126,305"
3,5138938303610982,7256084248,2025-02-28 13:12:20,婚姻如鞋。 只有自己知道,来自广东,5139012580283938,1,2,婚姻如鞋。 只有自己知道,2487618161,财花生,https://weibo.com/u/2487618161,情感博主,🥜🌸🌈❄️ 好事花生,广东,f,9216,1701,4090,,,,
4,5138938303610982,7256084248,2025-02-28 08:47:23,"周五快乐。蓝姐～<img alt=""[抱一抱]"" title=""[抱一抱]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/af/2020_hug_org.png"" />",来自山东,5138945902905474,1,2,周五快乐。蓝姐～[抱一抱],6184013948,耗子的球球,https://weibo.com/u/6184013948,超话粉丝钻咖（季肖冰超话）,我本该趋于混乱，直到你成为我的麦克斯韦妖。,山东,f,651,979,4060,"27,242","1,128","67,664","96,034"
5,5138938303610982,7256084248,2025-02-28 09:33:53,"信心满满的一天开始了呀<img alt=""[打call]"" title=""[打call]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/39/moren_dacall02_org.png"" />",来自河南,5138957604228457,1,2,信心满满的一天开始了呀[打call],3557993093,心安在当下,https://weibo.com/u/3557993093,,谨记财师：不说话，说好话。 大钱买砖，小钱买金。,河南 郑州,f,318,427,304,451,50,855,"1,356"
6,5138938303610982,7256084248,2025-02-28 22:39:04,"弟弟香啊，谁不喜欢18岁的男生<img alt=""[哈哈]"" title=""[哈哈]"" src=""https://face.t.sinajs.cn/t4/appstyle/expression/ext/normal/8f/2018new_haha_org.png"" />",来自黑龙江,5139155202605618,1,1,弟弟香啊，谁不喜欢18岁的男生[哈哈],2285862917,唐嘉鱼,https://weibo.com/u/2285862917,读物博主,我变胖了也变秃了,北京 昌平区,f,1933,1711,1251,,,,
7,5138938303610982,7256084248,2025-02-28 19:31:02,都是为了孩子，要是hdd立马离还有家暴,来自山东,5139107881947576,1,1,都是为了孩子，要是hdd立马离还有家暴,7389202090,财一岱,https://weibo.com/u/7389202090,投资内容创作者,人生如初，待相见,其他,m,22041,3989,968,,,,
8,5138938303610982,7256084248,2025-02-28 19:17:30,如人饮水，冷暖自知。,来自广东,5139104476431975,1,1,如人饮水，冷暖自知。,5063073447,暖阳苏苏儿,https://weibo.com/u/5063073447,情感博主,📝生活碎片｜吸引力法则,其他,f,22488,1584,2032,"67,410","1,775","112,921","182,106"
9,5138938303610982,7256084248,2025-02-28 17:27:18,合不合适只有自己知道,来自黑龙江,5139076743692963,1,1,合不合适只有自己知道,3277567757,v-v玉钥匙,https://weibo.com/u/3277567757,头条文章作者,梦，我做的最好,黑龙江,f,3024,2425,3387,"40,334",529,"55,071","95,934"
